Genbank Accession,Organism,Phylm,Bacteria or Archaea,Genome Length (nt),Chromosomes/plasmids,GC Content,Coding Length (nt),Coding GC Content,Effective Number of Codons,Effective Number of Codons Corrected for CG Content,Total Genes,Coding Genes,rRNA 5S,rRNA 16S,rRNA 23S,tRNAs,Isolation Source,Host,Country
NC_015387,Marinithermus hydrothermalis DSM 14884,Deinococcus-Thermus,Bacteria,2269167,1,0.680758181,2082594,0.686327244,47.741,32.1482,2262,2163,2,3,2,50, , ,Pacific Ocean: off Japan
NC_016748,Marinitoga piezophila KA3,Thermotogae,Bacteria,2244793,2,0.291397915,2052982,0.291332803,49.5463,54.6966,2104,2025,3,3,3,51, , ,Pacific Ocean
NC_017506,Marinobacter adhaerens HP15,Proteobacteria,Bacteria,4651725,3,0.568598531,4214605,0.575065516,57.1016,48.8815,4315,4176,3,3,3,51,German Wadden Sea, ,Germany
NC_017067,Marinobacter hydrocarbonoclasticus ATCC 49840,Proteobacteria,Bacteria,3989480,1,0.574252534,3648885,0.579851379,50.1511,34.7176,3665,3589,3,3,3,50, , , 
NZ_CP011494,Marinobacter psychrophilus,Proteobacteria,Bacteria,3998597,1,0.538448611,3549355,0.546499857,56.9797,50.6131,3636,3495,3,3,3,49,sea-ice, ,Arctic Ocean: Canadian Basin
NZ_CP007152,Marinobacter salarius,Proteobacteria,Bacteria,4616532,1,0.570794051,4164507,0.577437858,56.6797,48.4547,4361,3036,1,1,1,44,Sea water, ,Russia
NZ_CP007151,Marinobacter similis,Proteobacteria,Bacteria,3975896,1,0.576014564,3596344,0.582636144,55.7592,48.0741,3702,2538,1,1,1,46,Sea water, ,Australia
NC_015276,Marinomonas mediterranea MMB-1,Proteobacteria,Bacteria,4684316,1,0.441274884,4078910,0.448776021,58.999,58.8858,4252,4094,7,7,7,80, , , 
NC_015559,Marinomonas posidonica IVIA-Po-181,Proteobacteria,Bacteria,3899940,1,0.442851428,3458404,0.449672161,58.3618,56.6568,3600,3473,8,8,8,80, ,(seagrass) Posidonia oceanica,Spain
NZ_CP010855,Marinovum algicola DG 898,Proteobacteria,Bacteria,5252390,12,0.65207972,4733405,0.655932463,49.8969,31.9293,5005,4888,2,2,2,45, , ,South Korea
NC_014750,Marivirga tractuosa DSM 4126,Bacteroidetes,Bacteria,4516490,2,0.355167619,4045173,0.361067129,52.0293,56.484,3802,3729,2,2,2,39,beach sand, ,Viet Nam: Nha Trang
NZ_CP010803,Martelella endophytica,Proteobacteria,Bacteria,4817335,1,0.621373518,4266787,0.629045137,49.8681,29.0577,4491,4355,3,3,3,52, ,Rosa rugosa,Korea: Namhae Island
NZ_CP014275,Martelella sp. AD-3,Proteobacteria,Bacteria,5036008,3,0.622868748,4453488,0.629877301,48.0541,27.1475,4663,4523,3,3,3,51, , , 
NZ_CP019036,Massilia putida,Proteobacteria,Bacteria,7523017,3,0.654618619,6729076,0.665940316,47.941,37.2412,6661,6332,7,7,7,86,wolfram mine tailing, ,China:Jiangxi
NZ_CP012201,Massilia sp. NR 4-1,Proteobacteria,Bacteria,6361416,1,0.638265914,5733409,0.649153584,53.9734,49.8403,5368,5191,7,7,7,81,forest soil, ,South Korea: Jeju Island
NZ_CP012640,Massilia sp. WG5,Proteobacteria,Bacteria,6267305,3,0.655115556,5548222,0.669355336,45.2845,27.7436,5563,5331,8,8,8,86,Soil, ,China
NC_014212,Meiothermus silvanus DSM 9946,Deinococcus-Thermus,Bacteria,3721669,3,0.627153033,3319025,0.633738523,54.8862,47.4334,3666,3489,2,2,2,49,hot spring, ,Portugal
NC_018178,Melioribacter roseus P3M-2,Ignavibacteriae,Bacteria,3300414,1,0.413281182,3064953,0.418581949,54.205,54.2069,2930,2843,1,1,1,46, , ,Russia: Tomsk region
NC_006055,Mesoplasma florum L1,Tenericutes,Bacteria,793224,1,0.270204885,736302,0.270545238,33.1989,20.2409, , , ,,, , , , 
NZ_CP015318,Mesorhizobium amorphae CCNWGS0123,Proteobacteria,Bacteria,7343952,5,0.628697192,6364127,0.636140511,50.3719,31.6818,6820,6578,2,2,2,53, ,Robinia pseudoacacia,China: Gansu
NC_014918,Mesorhizobium ciceri biovar biserrulae WSM1271,Proteobacteria,Bacteria,6690028,2,0.625617262,5786100,0.632472996,39.451,58.7684, , , ,,, , ,Biserrula pelecinus L.,"Italy: 5 km before Bottida, Sardinia"
NZ_CP016079,Mesorhizobium loti NZP2037,Proteobacteria,Bacteria,7481739,2,0.62765996,6484175,0.635025273,51.4114,32.2447,7164,6963,2,2,2,52, ,Lotus,New Zealand: Palmerston North
NC_017934,Mesotoga prima MesG1.Ag.4.2,Thermotogae,Bacteria,2975953,2,0.454489033,2556308,0.45702787,57.9288,53.4142,2739,2636,2,2,2,46, , , 
NC_015435,Metallosphaera cuprina Ar-4,Crenarchaeota,Archaea,1840348,1,0.419945576,1627838,0.428239174,55.9222,53.7728,1946,1878,1,1,1,45,sulfuric hot spring,,China: Yunnan province
NC_009440,Metallosphaera sedula DSM 5348,Crenarchaeota,Archaea,2191517,1,0.462253316,1944089,0.472148652,56.4929,54.0822,2347,2273,1,1,1,45,,,
NZ_CP006933,Methanobacterium formicicum,Euryarchaeota,Archaea,2449987,1,0.413395255,2027081,0.437342168,55.608,53.8414,2411,2332,3,2,2,44,rumen contents,cow rumen,New Zealand
NC_015216,Methanobacterium lacus,Euryarchaeota,Archaea,2583753,1,0.35828657,2147342,0.377980778,51.0789,50.2982,2513,2440,3,2,2,40,not provided; submitted under MIGS 2.1,,
NC_015574,Methanobacterium paludis,Euryarchaeota,Archaea,2546541,1,0.357317632,1994320,0.385738999,53.0663,57.0286,2428,2346,3,3,3,46,,,
NC_023044,Methanobacterium sp. MB1,Euryarchaeota,Archaea,2029766,1,0.397424137,1680621,0.419063549,54.2688,53.7901,2024,1940,3,2,2,43,,,
NZ_CP011266,Methanobrevibacter millerae,Euryarchaeota,Archaea,2543538,1,0.31810887,2208897,0.331068402,42.2986,41.5554,2300,2194,3,2,2,37,rumen fluid,Ovis aries,New Zealand: Palmerston North
NC_013790,Methanobrevibacter ruminantium M1,Euryarchaeota,Archaea,2937203,1,0.326409853,2276815,0.364600989,49.7325,52.8937,2229,2115,3,2,2,54,,,
NC_009515,Methanobrevibacter smithii ATCC 35061,Euryarchaeota,Archaea,1853160,1,0.310342334,1665909,0.320784028,45.7533,45.3328,1792,1710,3,2,2,35,,,
NC_021355,Methanobrevibacter sp. AbM4,Euryarchaeota,Archaea,1998189,1,0.290385944,1522942,0.324661084,41.8088,33.1948,1734,1665,3,3,3,36,rumen,ovine,
NZ_CP009149,Methanocaldococcus bathoardescens,Euryarchaeota,Archaea,1607556,1,0.307881032,1430068,0.312044602,42.7313,48.6417,1693,1609,2,2,2,37,Marker113 at caldera of Axial Seamount,,Pacific Ocean
NC_013156,Methanocaldococcus fervens AG86,Euryarchaeota,Archaea,1507251,2,0.322183896,1359895,0.326237687,45.9427,52.5322,1634,1550,2,2,2,37,,,
NC_014122,Methanocaldococcus infernus ME,Euryarchaeota,Archaea,1328194,1,0.336185075,1230407,0.337703703,42.8241,45.443,1485,1420,2,2,2,38,,,
NC_000909,Methanocaldococcus jannaschii DSM 2661,Euryarchaeota,Archaea,1739927,3,0.312937666,1519072,0.318372127,44.1675,49.8883,1853,1765,2,2,2,37,,,
NC_013407,Methanocaldococcus vulcanius M7,Euryarchaeota,Archaea,1761737,3,0.315757687,1485216,0.32776512,47.4509,52.9444,1756,1684,2,2,2,37,,,
NC_009464,Methanocella arvoryzae MRE50,Euryarchaeota,Archaea,3179916,1,0.546029518,2646481,0.564354326,58.4839,56.1838,3112,3018,3,3,3,50,,,
NC_017034,Methanocella conradii HZ254,Euryarchaeota,Archaea,2378438,1,0.527402018,2113064,0.542869501,54.4976,52.8335,2504,2428,3,2,2,48,,,
NC_007955,Methanococcoides burtonii DSM 6242,Euryarchaeota,Archaea,2575032,1,0.407580954,2173459,0.421033477,55.894,56.1911,2555,2429,6,3,3,48,,,
NZ_CP009518,Methanococcoides methylutens MM1,Euryarchaeota,Archaea,2394636,1,0.440232252,2056080,0.455293082,56.8798,55.1193,2340,2249,6,3,3,52,,,
NC_009635,Methanococcus aeolicus Nankai-3,Euryarchaeota,Archaea,1569500,1,0.300374642,1323855,0.313016154,43.0197,44.6295,1544,1472,4,2,2,38,,,
NC_009637,Methanococcus maripaludis C7,Euryarchaeota,Archaea,1772694,1,0.332844247,1557131,0.342137559,47.101,42.7404,1852,1787,4,3,3,37,,,
NC_015847,Methanococcus maripaludis X1,Euryarchaeota,Archaea,1746697,1,0.329407629,1554466,0.338752997,51.7717,57.1313,1868,1791,3,2,2,36,,,
NC_009634,Methanococcus vannielii SB,Euryarchaeota,Archaea,1720048,1,0.313283118,1489343,0.322393834,49.8658,54.5255,1751,1675,5,4,4,36,,,
NC_014222,Methanococcus voltae A3,Euryarchaeota,Archaea,1936387,1,0.28594594,1532871,0.313757648,43.1632,37.8537,1733,1656,3,2,2,39,,,
NC_008942,Methanocorpusculum labreanum Z,Euryarchaeota,Archaea,1804962,1,0.500065929,1583437,0.5108495,56.3286,49.8765,1862,1782,3,3,3,50,,,
NC_018227,Methanoculleus bourgensis MS2,Euryarchaeota,Archaea,2789774,1,0.606400375,2234946,0.616928105,42.0903,23.6265,2596,2492,1,1,1,47,,,
NC_009051,Methanoculleus marisnigri JR1,Euryarchaeota,Archaea,2478101,1,0.620630363,2126425,0.632297006,53.6698,42.9007,2468,2392,1,1,1,49,,,
NC_014253,Methanohalobium evestigatum Z-7303,Euryarchaeota,Archaea,2406232,2,0.364249582,2024760,0.375904305,48.5091,48.9209,2378,2272,2,2,2,49,,,
NC_014002,Methanohalophilus mahii DSM 5219,Euryarchaeota,Archaea,2012424,1,0.426182057,1788311,0.436049994,55.9551,56.2283,2038,1946,3,3,3,52,,,USA
NC_014507,Methanolacinia petrolearia DSM 11571,Euryarchaeota,Archaea,2843290,1,0.473991749,2489526,0.486529966,57.6569,49.5148,2843,2755,3,2,2,47,,,
NC_018876,Methanolobus psychrophilus R15,Euryarchaeota,Archaea,3072769,1,0.446108705,2597709,0.46035141,57.0842,55.6687,2961,2840,4,3,3,52,,,
NC_019977,Methanomethylovorans hollandica DSM 15978,Euryarchaeota,Archaea,2714013,2,0.418670434,2327227,0.431557386,55.5095,54.8703,2609,2519,2,2,2,50,,,
NC_009712,Methanoregula boonei 6A8,Euryarchaeota,Archaea,2542943,1,0.545136088,2184969,0.555983632,48.3075,26.1296,2565,2488,1,1,1,48,,,
NC_019943,Methanoregula formicica SMSP,Euryarchaeota,Archaea,2820858,1,0.551959368,2424863,0.564051247,56.693,50.5934,2856,2770,1,1,1,47,,,Japan
NC_015416,Methanosaeta concilii GP6,Euryarchaeota,Archaea,3026645,2,0.509878099,2579613,0.522376806,56.5067,51.6181,2998,2883,2,2,2,45,,,
NC_017527,Methanosaeta harundinacea 6Ac,Euryarchaeota,Archaea,2571034,2,0.605963593,2177171,0.623992328,55.6591,53.033,2458,2362,1,1,1,45,,,
NC_015676,Methanosalsum zhilinae DSM 4017,Euryarchaeota,Archaea,2138444,1,0.391560406,1851366,0.403104519,52.5285,54.9427,2034,1946,3,3,3,46,sediment of alkaline lake,,Egypt
NC_003552,Methanosarcina acetivorans C2A,Euryarchaeota,Archaea,5751492,1,0.426808905,4306220,0.451902364,57.592,57.1176,4856,4611,3,3,3,56,,,
NZ_CP009517,Methanosarcina barkeri 3,Euryarchaeota,Archaea,4560446,1,0.390806075,3240235,0.421132418,56.8941,58.1084,3731,3565,3,3,3,56,,,
NZ_CP009528,Methanosarcina barkeri MS,Euryarchaeota,Archaea,4574907,2,0.391943268,3254154,0.421518773,56.4449,57.6896,3718,3481,3,3,3,57,,,
NZ_CP009516,Methanosarcina horonobensis HB-1 = JCM 15518,Euryarchaeota,Archaea,5018607,1,0.413110451,3777783,0.437793277,57.0323,57.9316,4361,4120,3,3,3,57,,,
NZ_CP009515,Methanosarcina lacustris Z-7289,Euryarchaeota,Archaea,4139808,1,0.41822785,3004807,0.443529651,57.2194,58.0538,3468,3258,3,3,3,55,,,
NZ_CP009512,Methanosarcina mazei S-6,Euryarchaeota,Archaea,4142816,1,0.414207148,3135851,0.440481069,56.1828,54.708,3557,3429,3,3,3,57,,,
NZ_CP009506,Methanosarcina siciliae T4,Euryarchaeota,Archaea,5017558,1,0.429404105,3809558,0.454262148,57.7938,57.7533,4194,3969,3,3,3,54,,,
NZ_CP009505,Methanosarcina sp. MTP4,Euryarchaeota,Archaea,4211468,1,0.459302315,3171450,0.488548771,58.1334,54.4849,3542,3381,3,3,3,56,,,
NZ_CP009503,Methanosarcina sp. WWM596,Euryarchaeota,Archaea,4137337,1,0.416924945,3058369,0.44260977,56.8621,57.255,3647,3449,3,3,3,57,,,
NZ_CP009501,Methanosarcina thermophila TM-1,Euryarchaeota,Archaea,3127379,1,0.411500117,2347863,0.437781692,55.7469,53.8574,2723,2584,3,3,3,54,,,
NZ_CP009520,Methanosarcina vacuolata Z-761,Euryarchaeota,Archaea,4563885,2,0.397128324,3293910,0.424962127,56.6582,57.8209,3714,3522,3,3,3,58,,,
NC_007681,Methanosphaera stadtmanae DSM 3091,Euryarchaeota,Archaea,1767403,1,0.276337089,1485877,0.29104226,37.8665,29.1415,1586,1517,4,4,4,41,,,
NC_011832,Methanosphaerula palustris E1-9c,Euryarchaeota,Archaea,2922917,1,0.553536758,2493446,0.568069651,55.7286,47.4551,2798,2680,6,3,3,55,,,
NC_007796,Methanospirillum hungatei JF-1,Euryarchaeota,Archaea,3544738,1,0.45149035,3108217,0.460737136,56.7183,55.3792,3397,3285,6,4,4,51,,,
NC_014408,Methanothermobacter marburgensis str. Marburg,Euryarchaeota,Archaea,1639135,2,0.486406847,1479879,0.497289641,54.2812,48.2648,1761,1689,3,2,2,39,,,
NC_000916,Methanothermobacter thermautotrophicus str. Delta H,Euryarchaeota,Archaea,1751377,1,0.495439303,1565265,0.5066682,54.5791,46.4847,1858,1746,3,2,2,38,,,
NC_015636,Methanothermococcus okinawensis IH1,Euryarchaeota,Archaea,1677455,2,0.292767913,1395964,0.312869816,46.7051,51.8276,1658,1556,3,2,2,37,,,Japan
NC_014658,Methanothermus fervidus DSM 2088,Euryarchaeota,Archaea,1243342,1,0.316369913,1164533,0.316200571,46.6634,53.2383,1348,1290,2,2,2,41,hot solfataric spring,,Iceland
NC_015562,Methanotorris igneus Kol 5,Euryarchaeota,Archaea,1854197,1,0.32299912,1523996,0.33345888,46.4759,53.0514,1816,1746,2,2,2,35,,,Iceland
NZ_LM997411,Methylacidiphilum fumariolicum SolV,Verrucomicrobia,Bacteria,2476671,1,0.414766031,2106347,0.419178796,55.3326,55.6457,2322,2244,1,1,1,47, , , 
NC_010794,Methylacidiphilum infernorum V4,Verrucomicrobia,Bacteria,2287145,1,0.454827744,2043057,0.461558831,56.4614,52.7931,2167,2099,1,1,1,46, , , 
NC_008825,Methylibium petroleiphilum PM1,Proteobacteria,Bacteria,4643639,2,0.687818971,4194138,0.691170391,50.1928,38.5682,4511,4358,1,1,1,68, , , 
NC_007947,Methylobacillus flagellatus KT,Proteobacteria,Bacteria,2971517,1,0.557190822,2657471,0.566674857,57.767,52.6622,2815,2715,2,2,2,46, , , 
NZ_AP014704,Methylobacterium aquaticum,Proteobacteria,Bacteria,7557960,6,0.707776172,6300991,0.717688376,45.1956,32.7055,6883,6561,11,11,11,97, , , 
NC_011887,Methylobacterium nodulans ORS 2060,Proteobacteria,Bacteria,8839022,8,0.684438165,7011556,0.695591678,47.9557,29.7354,8222,7831,7,7,7,72, , , 
NC_010721,Methylobacterium populi BJ001,Proteobacteria,Bacteria,5848997,3,0.693602681,4977311,0.701124563,49.7269,35.0113,5401,5259,5,5,5,56, , , 
NC_010502,Methylobacterium radiotolerans JCM 2831,Proteobacteria,Bacteria,6899110,9,0.710353944,5794553,0.716911382,42.0508,60.0226,6390,6239,6,6,6,59, , , 
NC_010373,Methylobacterium sp. 4-46,Proteobacteria,Bacteria,7737025,3,0.715024832,6283048,0.723095224,45.8357,33.0201,6797,6549,6,6,6,65, , , 
NZ_AP014648,Methyloceanibacter caenitepidi,Proteobacteria,Bacteria,3424964,1,0.628423248,2999449,0.632948585,53.7433,41.8299,3261,3152,1,1,1,45,sediment, ,Japan:Kagoshima bay
NC_011666,Methylocella silvestris BL2,Proteobacteria,Bacteria,4305430,1,0.630833622,3705562,0.637637962,52.3299,42.5458,3982,3836,2,2,2,48, , , 
NC_002977,Methylococcus capsulatus str. Bath,Proteobacteria,Bacteria,3304561,1,0.635845922,2988598,0.639909081,55.036,43.9377,3052,2960,2,2,2,46, , , 
NC_016108,Methylomicrobium alcaliphilum 20Z,Proteobacteria,Bacteria,4796711,2,0.487447545,3908438,0.496050084,55.4525,53.4903,4102,3972,3,3,3,45, , , 
NZ_CP014476,Methylomonas denitrificans,Proteobacteria,Bacteria,5172098,1,0.516627875,4555019,0.524833157,55.9547,50.9897,4724,4550,3,3,3,47, , , 
NC_015572,Methylomonas methanica MC09,Proteobacteria,Bacteria,5051681,1,0.513100491,4467057,0.520472427,56.7105,53.4288,4615,4503,3,3,3,46,soil, , 
NC_017856,Methylophaga frappieri,Proteobacteria,Bacteria,2745290,2,0.479158486,2533117,0.482573051,57.3798,53.2082,2645,2557,3,3,3,41, , , 
NC_017857,Methylophaga nitratireducenticrescens,Proteobacteria,Bacteria,3137191,1,0.447485983,2820573,0.452957254,57.6654,57.3197,2997,2892,3,3,3,44, , , 
NC_012968,Methylotenera mobilis JLW8,Proteobacteria,Bacteria,2547570,1,0.455101921,2277860,0.464708981,51.5015,43.9146,2373,2310,2,2,2,46, , , 
NC_014207,Methylotenera versatilis 301,Proteobacteria,Bacteria,3059871,1,0.426351307,2748322,0.435596702,55.9898,48.6549,2824,2731,3,3,3,47, , , 
NC_012969,Methylovorus glucosetrophus SIP3-4,Proteobacteria,Bacteria,3082007,3,0.546090583,2794251,0.554623761,48.8315,37.1398,2917,2856,2,2,2,47, , , 
NC_016026,Micavibrio aeruginosavorus ARL-13,Proteobacteria,Bacteria,2481983,1,0.547129855,2237714,0.553972492,53.0857,45.7246,2354,2304,1,1,1,41, , , 
NZ_CP015810,Microbacterium chocolatum,Actinobacteria,Bacteria,3168630,4,0.699630124,2867269,0.702067717,41.2826,58.3663,3025,2885,2,2,2,49,soil, ,China: Southern China
NZ_CP018134,Microbacterium paludicola,Actinobacteria,Bacteria,3410829,1,0.700956864,3148088,0.70308581,40.0705,58.0145,3234,3129,2,2,2,46,farmland soil, ,China: Shandong
NZ_CP012697,Microbacterium sp. No. 7,Actinobacteria,Bacteria,4827965,3,0.710106846,4290888,0.714017704,31.4208,60.4648,4481,4304,2,2,2,48,activated sludge, ,Japan: Kyoto
NC_015125,Microbacterium testaceum StLB037,Actinobacteria,Bacteria,3982034,1,0.702784055,3587756,0.704324096,42.414,58.8194,3633,3532,2,2,2,45, , , 
NC_012803,Micrococcus luteus NCTC 2665,Actinobacteria,Bacteria,2501097,1,0.729952497,2256378,0.731787848,38.5379,58.7047,2317,2230,2,1,2,48, , , 
NC_019738,Microcoleus sp. PCC 7113,Cyanobacteria,Bacteria,7966510,9,0.462133481,6601886,0.471119768,59.4746,58.5136,6679,6360,4,4,4,68,orchid house soil, ,"USA: San Francisco, CA"
NC_010296,Microcystis aeruginosa NIES-843,Cyanobacteria,Bacteria,5842795,1,0.423306311,4644971,0.428839706,58.025,55.1888,5497,5118,2,2,2,42, , , 
NC_015635,Microlunatus phosphovorus NM-1,Actinobacteria,Bacteria,5683123,1,0.672675393,5045332,0.676795105,47.038,59.6134,5165,5028,1,1,1,46, , , 
NC_014391,Micromonospora aurantiaca ATCC 27029,Actinobacteria,Bacteria,7025559,1,0.728221342,6293728,0.73196665,40.3206,60.3977,6274,6163,3,3,3,51, , , 
NC_014246,Mobiluncus curtisii ATCC 43063,Actinobacteria,Bacteria,2146480,1,0.554132813,1926932,0.559231981,55.6796,45.6897,1863,1791,2,2,2,46,biological product [ENVO:02000043],Homo sapiens, 
NC_017955,Modestobacter marinus,Actinobacteria,Bacteria,5575517,1,0.741311344,4980136,0.742842163,38.6472,60.0202,5293,5110,3,3,3,47, , , 
NC_007644,Moorella thermoacetica ATCC 39073,Firmicutes,Bacteria,2628784,1,0.557915371,2264601,0.569338705,47.5887,44.8005, , , ,,, , , , 
NC_014147,Moraxella catarrhalis BBH18,Proteobacteria,Bacteria,1863286,1,0.416715952,1594804,0.430829118,54.2087,44.1957,1716,1624,4,4,4,50, , , 
NZ_CP014234,Moraxella osloensis,Proteobacteria,Bacteria,2649137,5,0.43541123,2242294,0.450810197,56.1498,46.3531,2368,2253,4,4,4,47,withdrawn fluid,homo sapiens,USA
NZ_CP011158,Moraxella ovis,Proteobacteria,Bacteria,2306095,2,0.452588033,2017845,0.467456618,57.4001,52.616,2197,2049,4,4,4,49,case of pinkeye,Bos taurus,Norway
NC_020418,Morganella morganii subsp. morganii KT,Proteobacteria,Bacteria,3799539,1,0.511395082,3305552,0.526192154,54.8096,54.1517,3638,3491,7,7,6,79, ,Homo sapiens,Taiwan
NZ_LN554852,Moritella viscosa,Proteobacteria,Bacteria,5093989,3,0.394318284,4337212,0.403466789,56.1071,55.2418,4612,4305,13,11,11,131, , , 
NZ_HG934468,Mucinivorans hirudinis,Bacteroidetes,Bacteria,3149227,1,0.448991768,2773321,0.459854449,57.8724,58.6036,2824,2722,2,2,2,39, , , 
NZ_CP011071,Muricauda lutaonensis,Bacteroidetes,Bacteria,3274259,1,0.449686784,2992500,0.456778947,56.6144,56.3976,3030,2955,2,2,2,39,a coastal hot spring, ,Taiwan: Green Island
NC_015945,Muricauda ruestringensis DSM 13258,Bacteroidetes,Bacteria,3842422,1,0.413579768,3469497,0.421205725,54.9628,53.8447,3443,3378,2,2,2,38, , ,Germany
NC_010397,Mycobacterium abscessus,Actinobacteria,Bacteria,5090491,2,0.641481146,4715694,0.645176086,42.2229,18.5494, , , ,,, , , , 
NC_002944,Mycobacterium avium subsp. paratuberculosis K-10,Actinobacteria,Bacteria,4829781,1,0.692986079,4379612,0.697605176,45.9484,28.0393,4457,4289,1,1,1,46, , , 
NC_002945,Mycobacterium bovis AF2122,Actinobacteria,Bacteria,4345492,1,0.656329824,3934998,0.65902956,41.5591,23.6146, , , ,,, , , , 
NZ_CP007220,Mycobacterium chelonae CCUG 47445,Actinobacteria,Bacteria,5029817,1,0.639201784,4608785,0.643461346,54.0593,39.2785,4861,4764,1,1,1,48, , , 
NC_018022,Mycobacterium chubuense NBB4,Actinobacteria,Bacteria,6342624,3,0.682855392,5755770,0.687441819,46.4132,30.0424,5903,5740,2,2,2,46,creosote-contaminated soil, , 
NZ_CP011269,Mycobacterium fortuitum,Actinobacteria,Bacteria,6254616,1,0.662199406,5795417,0.665927577,48.7677,27.4688,6017,5855,2,2,2,52, , ,"USA: California, Pasadena"
NC_014814,Mycobacterium gilvum Spyr1,Actinobacteria,Bacteria,5783292,3,0.677614065,5311605,0.682049776,46.5801,30.4154,5466,5292,2,2,2,47,creosote contaminated soil, ,Greece
NZ_CP011883,Mycobacterium haemophilum DSM 44634,Actinobacteria,Bacteria,4235765,1,0.639479829,3639963,0.643899128,43.4477,28.1067,3931,3730,1,1,1,45,subcutaneous granuloma, , 
NC_016946,Mycobacterium intracellulare ATCC 13950,Actinobacteria,Bacteria,5402402,1,0.681008189,4918414,0.685451855,48.0178,27.9829,4985,4911,1,1,1,46, ,Homo sapiens,South Korea: Seoul
NC_022654,Mycobacterium kansasii ATCC 12478,Actinobacteria,Bacteria,6577228,2,0.66229223,5787259,0.66619569,49.8131,34.4529,5696,5454,1,1,1,46, , , 
NC_002677,Mycobacterium leprae TN,Actinobacteria,Bacteria,3268203,1,0.577967464,1620051,0.601232924,49.61,35.8666, , , ,,, , , , 
NZ_HG917972,Mycobacterium marinum E11,Actinobacteria,Bacteria,6450522,2,0.657396874,5751355,0.6614217,49.0317,22.7794,5370,5237,2,2,2,47, , , 
NC_023036,Mycobacterium neoaurum VKM Ac-1815D,Actinobacteria,Bacteria,5421267,1,0.668853609,4991702,0.673150961,46.143,27.3399,5059,4948,2,2,2,46, , , 
NZ_CP014475,Mycobacterium phlei,Actinobacteria,Bacteria,5349645,1,0.694395983,4949423,0.699268177,46.1735,59.7377,5106,4950,2,2,2,46,environment, , 
NC_016604,Mycobacterium rhodesiae NBB3,Actinobacteria,Bacteria,6415739,1,0.654905226,5921602,0.65841068,48.9318,27.3534,6190,6044,2,2,2,46, , ,Australia
NC_015576,Mycobacterium sinense,Actinobacteria,Bacteria,4643668,1,0.683722221,4262044,0.687590508,45.6195,28.4639,4342,4251,2,2,2,46, , , 
NC_008596,Mycobacterium smegmatis str. MC2 155,Actinobacteria,Bacteria,6988209,1,0.674028066,6376057,0.678391206,49.3978,32.4979, , , ,,, , , , 
NZ_CP011773,Mycobacterium sp. EPa45,Actinobacteria,Bacteria,6177406,1,0.663513941,5718448,0.667177703,49.6011,29.1708,5857,5728,2,2,2,47,PAH contaminated soil, ,Japan
NC_019966,Mycobacterium sp. JS623,Actinobacteria,Bacteria,7221766,4,0.651385824,6482728,0.655478218,52.3044,38.8719,7009,6789,2,2,2,47,human smegma,Homo sapiens, 
NC_008705,Mycobacterium sp. KMS,Actinobacteria,Bacteria,6256079,3,0.682281346,5759498,0.686361902,46.666,30.4888,6002,5901,2,2,2,48, , , 
NC_000962,Mycobacterium tuberculosis H37Rv,Actinobacteria,Bacteria,4411532,1,0.656146663,3958443,0.65908894,41.491,23.6059, , , ,,, , , , 
NZ_CP011491,Mycobacterium vaccae 95051,Actinobacteria,Bacteria,6235754,1,0.68586349,5729210,0.690398153,47.7093,32.8366,5839,5723,2,2,2,49, ,cow,Denmark
NC_008726,Mycobacterium vanbaalenii PYR-1,Actinobacteria,Bacteria,6491865,1,0.677931226,5940909,0.682265963,45.84,28.4097,6103,5963,2,2,2,49, , , 
NC_009497,Mycoplasma agalactiae PG2,Tenericutes,Bacteria,877438,1,0.297070562,783725,0.3007828,45.9233,47.6583,770,666,2,2,2,34, , , 
NZ_AP014657,Mycoplasma arginini,Tenericutes,Bacteria,678592,1,0.263772635,607981,0.265740212,39.2165,24.401,616,571,2,2,2,32,cow's milk [ENVO_0010035],Bos taurus,Japan: Hokkaido
NC_011025,Mycoplasma arthritidis 158L3-1,Tenericutes,Bacteria,820453,1,0.307094983,730823,0.313352207,54.5461,50.2823,662,618,1,1,1,33, , , 
NC_014760,Mycoplasma bovis PG45,Tenericutes,Bacteria,1003404,1,0.293147127,885369,0.297068228,46.2408,48.6477,865,788,2,2,2,34, , , 
NZ_CP007154,Mycoplasma bovoculi M165,Tenericutes,Bacteria,760240,1,0.282166158,698008,0.287615615,41.9684,40.7949,618,577,1,1,1,30, , , 
NZ_CP007521,Mycoplasma californicum,Tenericutes,Bacteria,793841,1,0.308289695,710815,0.313012528,52.9664,53.9294,676,630,2,2,2,31,cow with mastitis,Bos taurus,USA: California
NZ_AP014631,Mycoplasma canadense,Tenericutes,Bacteria,693241,1,0.243434823,615715,0.246865839,43.2048,43.0382,577,534,2,2,2,32,cow's milk (ENVO:0010035),ruminants (bovine),Japan: Hokkaido
NZ_CP014281,Mycoplasma canis PG 14,Tenericutes,Bacteria,897443,1,0.272166589,824027,0.273367256,47.7576,52.2084,701,639,2,3,3,31,throat,Canis lupus familiaris,United Kingdom: England
NC_007633,Mycoplasma capricolum subsp. capricolum ATCC 27343,Tenericutes,Bacteria,1010023,1,0.237704488,903326,0.239931099,41.6949,45.7676,870,793,2,2,2,30, , , 
