species,isolate,taxon,system,temperature,irradiance,light_hours,synonym,volume,c_per_cell,c_citation,mu_inf_amm,mu_amm,k_amm_m,k_amm,vmax_amm,vmax_amm_c,qmin_amm,qmin_amm_c,qmax_amm,qmax_amm_c,mu_inf_nit,mu_nit,k_nit_m,k_nit,vmax_nit,vmax_nit_c,qmin_nit,qmin_nit_c,qmax_nit,qmax_nit_c,mu_inf_p,mu_p,k_p_m,k_p,vmax_p,vmax_p_c,qmin_p,qmin_p_c,qmax_p,qmax_p_c,citation
Phaeocystis globosa,,haptophyte,marine,18,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.068965517,NA,NA,NA,NA,6.00E-09,NA,2.47E-08,NA,58
Phaeocystis globosa,,haptophyte,marine,20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.149606299,NA,NA,NA,NA,NA,NA,NA,NA,58
Asterionella glacialis,,diatom,marine,20,105,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
Cylindrospermopsis raciborskii,,cyano,freshwater,26,100,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,0.00123,NA,NA,61
Chlorella pyrenoidosa,,green,freshwater,NA,NA,NA,,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40E-09,NA,NA,NA,62
Diatoma elongatum,,diatom,freshwater,20,100,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.48,0.02,2.8,1.92E-07,NA,3.24E-09,NA,NA,NA,63
Prochlorococcus,MED4,cyano,marine,24,50,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,0.75,4.08E-09,NA,2.42E-11,NA,6.13E-11,NA,64
Phaeodactylum tricornutum,,diatom,marine,20,58,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02E-07,NA,2.00E-09,NA,NA,NA,65
Anabaena oscillarioides,,cyano,freshwater,26,36.4,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,1.2935,NA,NA,NA,1.39E-10,NA,NA,NA,66
Scenedesmus quadricauda,UTEX 76,green,freshwater,25,166.0577881,24,,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3.71E-08,NA,3.56E-07,NA,67
Synechococcus sp.,,cyano,freshwater,25,166.0577881,24,,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.82E-10,NA,1.28E-08,NA,67
Pavlova lutheri,,haptophyte,marine,22,440,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.0026,NA,3.72E-07,NA,9.35E-10,NA,NA,NA,68
Dinobryon sociale var. americanum,,chrysophyceae,freshwater,20,96,16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,3.34E-07,NA,NA,NA,NA,NA,69
Thalassiosira weissflogii,,diatom,marine,20,84,24,Thalassiosira fluviatilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
Nitzschia closterium,,diatom,marine,20,28,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,14.6,NA,NA,NA,6.20E-08,NA,NA,NA,NA,0.39,0.5,NA,NA,NA,2.50E-09,NA,NA,NA,70
Skeletonema costatum,,diatom,marine,20,28,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,4,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.54,NA,NA,NA,NA,NA,NA,NA,70
Aureoumbra lagunensis,,pelagophyte,marine,22,130,24,,NA,7.98E-07,0,0.69,NA,NA,NA,NA,NA,2.12E-08,0.043,9.74E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77E-10,NA,2.20E-09,NA,72
Chaetoceros sp.,,diatom,marine,20,NA,NA,,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,5.76E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Dunaliella tertiolecta,CCMP 1320,green,marine,20,NA,NA,,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,4.32E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Pavlova lutheri,CCMP 1325,haptophyte,marine,20,NA,NA,,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,5.04E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Prorocentrum minimum,,dino,marine,20,NA,NA,,907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.45E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Skeletonema costatum,CCMP 1332,diatom,marine,20,NA,NA,,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.51E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Thalassiosira weissflogii,CCMP 1047,diatom,marine,20,NA,NA,,2132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,7.44E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Alexandrium minutum,RCC 749,dino,marine,18,200,14,,NA,NA,NA,NA,NA,NA,0.25,1.56E-05,NA,NA,NA,NA,NA,0.69,NA,NA,0.26,6.96E-06,NA,4.15E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
Scenedesmus obliquus,SAG 276-3a,green,freshwater,20,159,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1.33,NA,NA,NA,NA,0.00132,NA,0.0369,75
Scenedesmus obliquus,SAG 276-3a,green,freshwater,25,159,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.96,NA,NA,NA,NA,0.00133,NA,0.024,75
Scenedesmus obliquus,SAG 276-3a,green,freshwater,30,159,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,0.25,NA,NA,NA,NA,0.0013,NA,0.0338,75
Scenedesmus obliquus,SAG 276-3a,green,freshwater,35,159,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,0.62,NA,NA,NA,NA,0.00133,NA,0.0615,75
Alexandrium catenella,,dino,marine,20,80,14,,NA,NA,NA,NA,0.55,3.3,NA,NA,NA,7.00E-06,NA,NA,NA,NA,0.54,7.7,NA,NA,NA,7.30E-06,NA,NA,NA,NA,0.47,0.72,NA,NA,NA,3.20E-07,NA,NA,NA,75
Monodus subterraneus,,xanthophyte,freshwater,25,48.8,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.90E-10,NA,NA,NA,76
Chaetoceros affinis,,diatom,marine,13,402,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84E-09,NA,8.19E-08,NA,77
Skeletonema costatum,,diatom,marine,13,402,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68E-09,NA,3.50E-08,NA,77
Chattonella antiqua,,raphidophyte,marine,25,128,12,,NA,NA,NA,NA,NA,NA,2.19,4.85E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Chattonella antiqua,,raphidophyte,marine,25,128,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,2.81,2.18E-05,NA,1.10E-05,NA,NA,NA,NA,0.51,NA,1.76,3.36E-06,NA,1.00E-06,NA,NA,NA,79
Anabaena flos-aquae,,cyano,freshwater,20,88,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84,5.96E-07,NA,NA,NA,NA,NA,80
Navicula pelliculosa,,diatom,freshwater,20,117,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.45,3.17E-07,NA,1.77E-09,NA,NA,NA,80
Scenedesmus quadricauda,,green,freshwater,20,88,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,2.74E-06,NA,2.58E-08,NA,NA,NA,80
Eucampia zodiacus,,diatom,marine,20,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.86,NA,NA,NA,1.00E-06,NA,NA,NA,NA,2.6,0.31,NA,NA,NA,1.60E-07,NA,NA,NA,84
Eucampia zodiacus,,diatom,marine,9,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.76,NA,NA,NA,1.60E-06,NA,NA,NA,NA,1.3,0.29,NA,NA,NA,2.40E-07,NA,NA,NA,84
Coscinodiscus wailesii,,diatom,marine,20,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.4,NA,NA,NA,0.00044,NA,NA,NA,NA,0.76,0.39,NA,NA,NA,3.00E-05,NA,NA,NA,83
Coscinodiscus wailesii,,diatom,marine,9,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,1.4,NA,NA,NA,0.00044,NA,NA,NA,NA,0.32,0.39,NA,NA,NA,4.00E-05,NA,NA,NA,83
Eucampia zodiacus,,diatom,marine,20,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,2.20E-05,NA,NA,NA,NA,NA,NA,NA,NA,4.85,1.32E-05,NA,NA,NA,NA,NA,85
Eucampia zodiacus,,diatom,marine,9,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59,1.86E-05,NA,NA,NA,NA,NA,NA,NA,NA,1.83,5.86E-06,NA,NA,NA,NA,NA,85
Coscinodiscus wailesii,,diatom,marine,20,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08,0.00229,NA,NA,NA,NA,NA,NA,NA,NA,6.67,0.00144,NA,NA,NA,NA,NA,86
Coscinodiscus wailesii,,diatom,marine,9,150,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,5.62,0.00101,NA,NA,NA,NA,NA,86
Chlorella emersonii,CCAP 211/8H,green,freshwater,24,168,24,Chlorella pyrenoidosa,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,0.0061,0.6774,1.16E-06,NA,2.92E-09,NA,7.03E-08,NA,87
Selenastrum capricornutum,,green,freshwater,24,168,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,0.0248,2.5806,NA,NA,NA,NA,NA,NA,87
Microcystis aeruginosa,,cyano,freshwater,23,90,18,,NA,6.50E-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,0.81,NA,3.0675,1.15E-06,1.77,1.53E-09,0.00236,1.59E-08,0.0244,88
Staurastrum luetkemuellerii,,desmid,freshwater,23,90,18,,2691,4.39E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.94,NA,0.7104,9.60E-07,0.0219,3.14E-08,0.000716,7.31E-07,0.0166,88
Alexandrium catenella,,dino,marine,21,120,14,,17724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,4.70E-05,NA,8.00E-07,NA,NA,NA,89
Prorocentrum donghaiense,,dino,marine,21,120,14,,1799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,2.64E-06,NA,1.20E-07,NA,NA,NA,89
Skeletonema costatum,,diatom,marine,21,120,14,,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,4.80E-07,NA,1.20E-08,NA,NA,NA,89
Emiliania huxleyi,NIOZ strain L,cocco,marine,13,150,12,,NA,2.00E-05,1,NA,NA,NA,0.2,NA,0.125,NA,NA,NA,NA,NA,NA,NA,0.2,2.50E-07,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
Thalassiosira pseudonana,,diatom,marine,18,80,24,,NA,NA,NA,NA,1.7,NA,0.2,7.44E-07,NA,3.50E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.50E-08,NA,NA,NA,NA,1.7,NA,NA,2.16E-07,NA,2.20E-09,NA,NA,NA,91
Chlorella vulgaris,,green,freshwater,20,40,24,,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,9.32,8.66E-08,NA,1.23E-09,NA,7.70E-09,NA,92
Monodus subterraneus,,xanthophyte,freshwater,20,40,24,,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA,2.31,8.16E-09,NA,1.11E-09,NA,3.25E-08,NA,92
Monoraphidium griffithii,,green,freshwater,20,40,24,,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,13.7,2.20E-07,NA,3.53E-09,NA,2.24E-08,NA,92
Selenastrum capricornutum,,green,freshwater,20,40,24,,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,NA,NA,16.66,7.73E-08,NA,1.94E-09,NA,1.45E-08,NA,92
Synechocystis,PCC 6803,cyano,freshwater,20,40,24,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,NA,NA,3.45,1.49E-08,NA,3.00E-10,NA,6.45E-09,NA,92
Thalassiosira pseudonana,CCMP 1335,diatom,marine,NA,224,15,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,6.19E-07,NA,6.00E-10,NA,NA,NA,93
Scenedesmus vacuolatus,SAG 211-8b,green,freshwater,25,38,24,Chlorella pyrenoidosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94
Chaetoceros lorenzianus,,diatom,marine,20,53,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.15E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
Prorocentrum micans,,dino,marine,20,53,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,0.000113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
Chaetoceros curvisetum,,diatom,marine,22,200,24,,NA,NA,NA,NA,0.68,16.5,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Chaetoceros sp.,CCAP 1010/10,diatom,marine,5,200,24,,NA,NA,NA,NA,0.79,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.79,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Dunaliella tertiolecta,CCAP 19/6B,green,marine,20,200,24,,NA,NA,NA,NA,2.09,30,NA,NA,NA,NA,NA,NA,NA,NA,2.4,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Chaetoceros curvisetum,,diatom,marine,17,200,24,,NA,NA,NA,NA,0.6,14,NA,NA,NA,NA,NA,NA,NA,NA,0.65,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Chaetoceros sp.,CCAP 1010/10,diatom,marine,3,200,24,,NA,NA,NA,NA,0.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0.7,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Dunaliella tertiolecta,CCAP 19/6B,green,marine,15,200,24,,NA,NA,NA,NA,1.42,18,NA,NA,NA,NA,NA,NA,NA,NA,2.28,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Chaetoceros curvisetum,,diatom,marine,12,200,24,,NA,NA,NA,NA,0.46,5.3,NA,NA,NA,NA,NA,NA,NA,NA,0.48,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Chaetoceros sp.,CCAP 1010/10,diatom,marine,1,200,24,,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Dunaliella tertiolecta,CCAP 19/6B,green,marine,10,200,24,,NA,NA,NA,NA,1.39,18,NA,NA,NA,NA,NA,NA,NA,NA,1.08,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Dunaliella tertiolecta,CCAP 19/6B,green,marine,25,200,24,,NA,NA,NA,NA,1.39,30,NA,NA,NA,NA,NA,NA,NA,NA,1.87,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
Phaeodactylum tricornutum,CCAP 1052/6,diatom,marine,20,150,NA,,NA,NA,NA,NA,1.08,NA,NA,2.60E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
Selenastrum capricornutum,,green,freshwater,20,NA,NA,,NA,NA,NA,NA,1.365,0.3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Selenastrum capricornutum,,green,freshwater,24,NA,NA,,NA,NA,NA,NA,1.99,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Selenastrum capricornutum,,green,freshwater,27,NA,NA,,NA,NA,NA,NA,1.41,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Selenastrum capricornutum,,green,freshwater,28,NA,NA,,NA,NA,NA,NA,1.39,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Selenastrum capricornutum,,green,freshwater,33,NA,NA,,NA,NA,NA,NA,1.27,0.393571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Microcystis sp. 2,,cyano,freshwater,20,101,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.20E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10E-09,NA,NA,NA,99
Scenedesmus obliquus,,green,freshwater,20,101,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60E-09,NA,NA,NA,99
Selenastrum capricornutum,,green,freshwater,20,101,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-09,NA,NA,NA,99
Synedra ulna,,diatom,freshwater,20,101,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67E-08,NA,NA,NA,99
Scenedesmus sp.,,green,freshwater,11,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,NA,NA,NA,NA,NA,2.10E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Scenedesmus sp.,,green,freshwater,12,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84E-09,NA,NA,NA,100
Scenedesmus sp.,,green,freshwater,15,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29E-09,NA,NA,NA,100
Scenedesmus sp.,,green,freshwater,16,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,NA,9.65E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41E-09,NA,NA,NA,100
Scenedesmus sp.,,green,freshwater,17,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Scenedesmus sp.,,green,freshwater,18,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87E-09,NA,NA,NA,100
Scenedesmus sp.,,green,freshwater,20,78.5,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.385,NA,NA,NA,NA,NA,5.17E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60E-09,NA,NA,NA,100
Anabaena flos-aquae,,cyano,freshwater,20,87,24,,132,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Emiliania huxleyi,NIOZ strain L,cocco,marine,15,200,24,,46.61111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,7.44E-08,NA,4.20E-08,NA,NA,NA,NA,0.76,0.0018,0.44,5.52E-07,NA,2.60E-09,NA,8.20E-08,NA,102
Pyrocystis noctiluca,,dino,marine,25,37.5,12,,1.40E+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.40E-05,NA,5.50E-06,NA,2.90E-05,NA,103
Pyrocystis noctiluca,,dino,marine,25,35,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.15,NA,NA,NA,NA,NA,NA,NA,104
Asterionella glacialis,,diatom,marine,17,110,14,Asterionella japonica,97.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,7.04E-07,NA,1.00E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Nitzschia longissima,,diatom,marine,17,110,14,Nitschiella longissima,50.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,3.48E-07,NA,8.60E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Skeletonema costatum,,diatom,marine,17,110,14,,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,2.92E-07,NA,3.90E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
Volvox aureus,,green,freshwater,5,512,14,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.9,1.94E-08,NA,NA,NA,NA,NA,106
