Data source record id	NCBI tax id	BioSample	BioProject	Data source organism name	NCBI scientific name	RDP taxa	Data source lineage	NCBI taxonomic lineage	RDP taxonomic lineage	basecount	16S gene count	23S gene count	tRNA gene count	Curator	Evidence	Note	References	rrnDB version
GCF_001506805.1	197	SAMN03246042	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506825.1	197	SAMN03246027	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506845.1	197	SAMN03246038	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506865.1	197	SAMN03246055	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506885.1	197	SAMN03246017	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506905.1	197	SAMN03246023	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506925.1	197	SAMN03246054	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506945.1	197	SAMN03246048	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506965.1	197	SAMN03246019	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001506985.1	197	SAMN03246021	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507005.1	197	SAMN03246007	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507025.1	197	SAMN03246033	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507045.1	197	SAMN03246037	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507065.1	197	SAMN03246031	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507085.1	197	SAMN03246004	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507105.1	197	SAMN03246056	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507125.1	197	SAMN03246010	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507145.1	197	SAMN03246025	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507165.1	197	SAMN03246040	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507185.1	197	SAMN03246011	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507205.1	197	SAMN03246014	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507225.1	197	SAMN03246029	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507245.1	197	SAMN03246032	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507265.1	197	SAMN03246006	PRJNA224116	Campylobacter jejuni	Campylobacter jejuni	Campylobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Epsilonproteobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507645.1	1411621	SAMN04325376	PRJNA224116	Hymenobacter sedentarius	Hymenobacter sedentarius	Hymenobacter (genus)			"Bacteria|domain; ""Bacteroidetes""|phylum; Cytophagia|class; Cytophagales|order; Cytophagaceae|family; Hymenobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001507665.1	1768108	SAMN04325383	PRJNA224116	Deinococcus actinosclerus	Deinococcus actinosclerus	Deinococcus (genus)			"Bacteria|domain; ""Deinococcus-Thermus""|phylum; Deinococci|class; Deinococcales|order; Deinococcaceae|family; Deinococcus|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001509195.1	2104	SAMN04370656	PRJNA224116	Mycoplasma pneumoniae	Mycoplasma pneumoniae	Mycoplasma (genus)			"Bacteria|domain; ""Tenericutes""|phylum; Mollicutes|class; Mycoplasmatales|order; Mycoplasmataceae|family; Mycoplasma|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001509405.1	2041	SAMN03701813	PRJNA224116	Aeromicrobium erythreum	Aeromicrobium erythreum	Aeromicrobium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Propionibacterineae|suborder; Nocardioidaceae|family; Aeromicrobium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001509895.1	520	SAMN03366100	PRJNA224116	Bordetella pertussis	Bordetella pertussis	Bordetella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Bordetella|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001509915.1	520	SAMN03249376	PRJNA224116	Bordetella pertussis	Bordetella pertussis	Bordetella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Bordetella|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001511755.1	1283291	SAMEA3393040	PRJNA224116	Pseudomonas sp. URMO17WK12:I11	Pseudomonas sp. URMO17WK12:I11	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001511775.1	1283291	SAMEA3393041	PRJNA224116	Pseudomonas sp. URMO17WK12:I11	Pseudomonas sp. URMO17WK12:I11	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001511815.1	1926	SAMEA3707210	PRJNA224116	Streptomyces reticuli	Streptomyces reticuli	Streptomyces (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Streptomycineae|suborder; Streptomycetaceae|family; Streptomyces|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001511835.1	1663591	SAMEA3682505	PRJNA224116	Magnetospirillum sp. XM-1	Magnetospirillum sp. XM-1	Magnetospirillum (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Alphaproteobacteria|class; Rhodospirillales|order; Rhodospirillaceae|family; Magnetospirillum|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001513615.1	562	SAMN04381845	PRJNA224116	Escherichia coli	Escherichia coli	Escherichia/Shigella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Escherichia/Shigella|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001513635.1	562	SAMN04381854	PRJNA224116	Escherichia coli	Escherichia coli	Escherichia/Shigella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Escherichia/Shigella|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001513675.1	367477	SAMN03761181	PRJNA224116	Microbacterium sp. XT11	Microbacterium sp. XT11	Microbacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Micrococcineae|suborder; Microbacteriaceae|family; Microbacterium|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001513695.1	1639	SAMN04387840	PRJNA224116	Listeria monocytogenes	Listeria monocytogenes	Listeria (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Listeriaceae|family; Listeria|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001513715.1	216946	SAMN04219521	PRJNA224116	Spiroplasma turonicum	Spiroplasma turonicum	Spiroplasma (genus)			"Bacteria|domain; ""Tenericutes""|phylum; Mollicutes|class; Entomoplasmatales|order; Spiroplasmataceae|family; Spiroplasma|genus"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001513745.1	1740162	SAMN04196784	PRJNA224116	Burkholderia sp. Bp5365	Burkholderia sp. Bp5365	Burkholderia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Burkholderiaceae|family; Burkholderia|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001514355.1	32002	SAMN04158498	PRJNA224116	Achromobacter denitrificans	Achromobacter denitrificans	Achromobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Betaproteobacteria|class; Burkholderiales|order; Alcaligenaceae|family; Achromobacter|genus"		3				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001514375.1	470	SAMN03941550	PRJNA224116	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Moraxellaceae|family; Acinetobacter|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001514395.1	1238	SAMN04309069	PRJNA224116	Piscirickettsia salmonis	Piscirickettsia salmonis	Piscirickettsia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Thiotrichales|order; Piscirickettsiaceae|family; Piscirickettsia|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001514415.1	1597	SAMN04378089	PRJNA224116	Lactobacillus paracasei	Lactobacillus paracasei	Lactobacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Lactobacillaceae|family; Lactobacillus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001514435.1	1308	SAMN04384202	PRJNA224116	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Streptococcaceae|family; Streptococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001514455.1	47917	SAMN04390144	PRJNA224116	Serratia fonticola	Serratia fonticola	Serratia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Serratia|genus"		8				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515585.1	303	SAMN04380944	PRJNA224116	Pseudomonas putida	Pseudomonas putida	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515665.1	46170	SAMN03835466	PRJNA224116	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	Staphylococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Staphylococcaceae|family; Staphylococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515685.1	46170	SAMN03765155	PRJNA224116	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	Staphylococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Staphylococcaceae|family; Staphylococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515705.1	46170	SAMN03835488	PRJNA224116	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	Staphylococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Staphylococcaceae|family; Staphylococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515725.1	562	SAMN04385793	PRJNA224116	Escherichia coli	Escherichia coli	Escherichia/Shigella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Escherichia/Shigella|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515745.1	46170	SAMN03835492	PRJNA224116	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	Staphylococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Staphylococcaceae|family; Staphylococcus|genus		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515765.1	46170	SAMN03835494	PRJNA224116	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	Staphylococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Staphylococcaceae|family; Staphylococcus|genus		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515845.2	287	SAMN02894350	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001515915.2	287	SAMN02894349	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516005.1	287	SAMN02894348	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516105.1	287	SAMN02894347	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516165.2	287	SAMN02894346	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516185.2	287	SAMN02894345	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516205.2	287	SAMN02894344	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516225.2	287	SAMN02894343	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516245.2	287	SAMN02894358	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516265.1	287	SAMN02894357	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516305.2	287	SAMN02894355	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516325.2	287	SAMN02894354	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516345.1	287	SAMN02894353	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516365.2	287	SAMN02894352	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001516385.1	287	SAMN02894351	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001517405.1	1619313	SAMEA3650399	PRJNA224116	Erwinia gerundensis	Erwinia gerundensis	Enterobacteriaceae (family) and Erwinia (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family|||Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Erwinia|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001517645.1	470	SAMEA3715145	PRJNA224116	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Moraxellaceae|family; Acinetobacter|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518735.1	1352	SAMN04418075	PRJNA224116	Enterococcus faecium	Enterococcus faecium	Enterococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Enterococcaceae|family; Enterococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518775.1	644	SAMN04404355	PRJNA224116	Aeromonas hydrophila	Aeromonas hydrophila	Aeromonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Aeromonadales|order; Aeromonadaceae|family; Aeromonas|genus"		10				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518795.1	51665	SAMN04158504	PRJNA224116	Aerococcus urinaeequi	Aerococcus urinaeequi	Aerococcus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Lactobacillales|order; Aerococcaceae|family; Aerococcus|genus		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518815.1	47885	SAMN04158501	PRJNA224116	Pseudomonas oryzihabitans	Pseudomonas oryzihabitans	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		5				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518835.1	83655	SAMN04158503	PRJNA224116	Leclercia adecarboxylata	Leclercia adecarboxylata	Enterobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Enterobacter|genus"		8				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518855.1	624	SAMN03284775	PRJNA224116	Shigella sonnei	Shigella sonnei	Escherichia/Shigella (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Escherichia/Shigella|genus"		7				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518875.1	1396	SAMN03451612	PRJNA224116	Bacillus cereus	Bacillus cereus	Bacillus (genus)			Bacteria|domain; Firmicutes|phylum; Bacilli|class; Bacillales|order; Bacillaceae 1|family; Bacillus|genus		14				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518895.1	64187	SAMN04161335	PRJNA224116	Xanthomonas oryzae pv. oryzae	Xanthomonas oryzae pv. oryzae	Xanthomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Xanthomonadales|order; Xanthomonadaceae|family; Xanthomonas|genus"		2				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518935.2	1718	SAMN04158500	PRJNA224116	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium (genus)			"Bacteria|domain; ""Actinobacteria""|phylum; Actinobacteria|class; Actinobacteridae|subclass; Actinomycetales|order; Corynebacterineae|suborder; Corynebacteriaceae|family; Corynebacterium|genus"		6				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518975.1	287	SAMN04158502	PRJNA224116	Pseudomonas aeruginosa	Pseudomonas aeruginosa	Pseudomonas (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus"		4				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001518995.2	1779382	SAMN04404272	PRJNA224116	Rhodothermaceae bacterium RA	Rhodothermaceae bacterium RA	"""Rhodothermaceae"" (family)"			"Bacteria|domain; ""Bacteroidetes""|phylum; Sphingobacteriia|class; ""Sphingobacteriales""|order; ""Rhodothermaceae""|family"		1				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001521715.1	61645	SAMN03742638	PRJNA224116	Enterobacter asburiae	Enterobacter asburiae	Enterobacter (genus)			"Bacteria|domain; ""Proteobacteria""|phylum; Gammaproteobacteria|class; ""Enterobacteriales""|order; Enterobacteriaceae|family; Enterobacter|genus"		8				Machine processing of NCBI genome assembly data.			"""5.4"""
GCF_001521855.1	374982	SAMN04422304	PRJNA224116	Synechococcus sp. PCC 73109	Synechococcus sp. PCC 73109	GpX (genus)			Bacteria|domain; Cyanobacteria/Chloroplast|phylum; Cyanobacteria|class; Family X|family; GpX|genus		2				Machine processing of NCBI genome assembly data.			"""5.4"""
