#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Calothrix sp. NIES-4101","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","NIES-4101","SAMD00081173","PRJDB5665","Complete",10.5615,8250,8754,,,68
"Lactobacillus sakei","Bacteria;Terrabacteria group;Firmicutes","LK-145","SAMD00065788","PRJDB5233","Complete",1.99426,1893,2038,,,65
"Phaeobacter gallaeciensis","Bacteria;Proteobacteria;Alphaproteobacteria","P73","SAMN03294489","PRJNA273601","Complete",4.54187,4263,4370,,,58
"Francisella noatunensis subsp. orientalis","Bacteria;Proteobacteria;Gammaproteobacteria","FNO190","SAMN02666529","PRJNA240882","Complete",1.86221,1451,1900,,,39
"Streptococcus gordonii","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_371","SAMN07312415","PRJNA231221","Complete",2.12131,1970,2099,,,60
"Yersinia ruckeri","Bacteria;Proteobacteria;Gammaproteobacteria","NHV_3758","SAMN07594326","PRJNA401093","Complete",3.7667,3255,3465,,,81
"Caulobacter vibrioides","Bacteria;Proteobacteria;Alphaproteobacteria","CB13b1a","SAMN06927530","PRJNA386178","Complete",4.14396,3775,3971,,,51
"Gluconobacter oxydans 621H","Bacteria;Proteobacteria;Alphaproteobacteria","WT-DSMZ","SAMEA37041418","PRJEB18739","Complete",2.92484,2658,2839,,,55
"Bacillus atrophaeus","Bacteria;Terrabacteria group;Firmicutes","BA59","SAMN03247591","PRJNA269018","Complete",4.25815,3889,4387,,,84
"Bartonella henselae","Bacteria;Proteobacteria;Alphaproteobacteria","Houston-I","SAMN06703471","PRJNA382325","Complete",1.95542,1520,1757,"human",,42
"Borrelia miyamotoi","Bacteria;Spirochaetes;Spirochaetia","Yekat-1","SAMN07572565","PRJNA406856","Complete",1.30184,1148,1276,"human",,31
"Escherichia albertii","Bacteria;Proteobacteria;Gammaproteobacteria","2014C-4356","SAMN07159041","PRJNA218110","Complete",5.33685,5152,5606,"human",,97
"Fusobacterium periodonticum","Bacteria;Fusobacteria;Fusobacteriia","KCOM 1277","SAMN07956209","PRJNA416424","Complete",2.32408,2164,2378,,,45
"Pectobacterium carotovorum subsp. brasiliense","Bacteria;Proteobacteria;Gammaproteobacteria","BZA12","SAMN07961732","PRJNA416681","Complete",4.92481,4251,4476,"plants",,76
"Moraxella osloensis","Bacteria;Proteobacteria;Gammaproteobacteria","NP7","SAMN07501685","PRJNA398109","Complete",3.04378,2622,2795,,,47
"Aeromonas veronii","Bacteria;Proteobacteria;Gammaproteobacteria","X12","SAMN08042684","PRJNA419086","Complete",4.77319,4183,4440,,,112
"Dickeya solani","Bacteria;Proteobacteria;Gammaproteobacteria","PPO 9019","SAMN03266541","PRJNA344961","Complete",4.96243,4168,4376,"plants",,75
"Pseudoalteromonas sp. NC201","Bacteria;Proteobacteria;Gammaproteobacteria","NC201","SAMN07357684","PRJNA394709","Complete",5.37832,4407,4642,,,105
"Phaeobacter piscinae","Bacteria;Proteobacteria;Alphaproteobacteria","P71","SAMN03294487","PRJNA273599","Complete",4.07512,3785,3879,,,57
"Morganella morganii","Bacteria;Proteobacteria;Gammaproteobacteria","KC-Tt-01","SAMN08335225","PRJNA429323","Complete",3.82489,3463,3611,"human",,79
"Phaeobacter inhibens","Bacteria;Proteobacteria;Alphaproteobacteria","P24","SAMN03294470","PRJNA273582","Complete",4.39864,4104,4216,,,58
"Nostoc sp. CENA543","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","CENA543","SAMN07604078","PRJNA401388","Complete",7.20764,5857,6112,,,73
"Aeromonas sp. ASNIH7","Bacteria;Proteobacteria;Gammaproteobacteria","ASNIH7","SAMN06040385","PRJNA430813","Complete",4.86866,4098,4555,,,122
"Achromobacter xylosoxidans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_147","SAMN03996290","PRJNA231221","Complete",6.88696,6140,6283,"human",,59
"Bordetella bronchiseptica","Bacteria;Proteobacteria;Betaproteobacteria","ATCC BAA-588D-5","SAMN03996258","PRJNA231221","Complete",5.33923,4944,5090,"human",,56
"Citrobacter freundii complex sp. CFNIH4","Bacteria;Proteobacteria;Gammaproteobacteria","CFNIH4","SAMN03455986","PRJNA430813","Complete",5.62949,5430,5849,,,85
"Providencia stuartii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0026","SAMN04014867","PRJNA292901","Complete",4.36817,3822,4101,,,79
"Citrobacter koseri","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0024","SAMN04014865","PRJNA292901","Complete",4.92887,4607,4862,"human",,86
"Pandoraea apista","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_126","SAMN03996272","PRJNA231221","Complete",5.3265,4620,4773,,,67
"Proteus mirabilis","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_67","SAMN02934516","PRJNA231221","Complete",3.95547,3467,3658,"human",,84
"Mycoplasma hominis","Bacteria;Terrabacteria group;Tenericutes","2539","SAMN08362962","PRJNA429440","Complete",0.75131,572,641,"human",,33
"Streptococcus sp. 'group B'","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_229","SAMN04875566","PRJNA231221","Complete",2.17826,2079,2278,,,80
"Halomonas sp. GFAJ-1","Bacteria;Proteobacteria;Gammaproteobacteria","GFAJ-1","SAMN05363623","PRJNA329390","Complete",3.65049,3183,3331,,,68
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","2002/0476","SAMN08321034","PRJNA428763","Complete",4.35564,4055,4256,,,45
"Staphylococcus lugdunensis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_222","SAMN04875559","PRJNA231221","Complete",2.54032,2301,2430,"human",,59
"Staphylococcus saprophyticus","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_336","SAMN06173349","PRJNA231221","Complete",2.63578,2396,2586,"human",,58
"Lysinibacillus sphaericus","Bacteria;Terrabacteria group;Firmicutes","DSM 28","SAMN06447727","PRJNA376811","Complete",4.68172,4369,4610,,,112
"Bacillus paralicheniformis","Bacteria;Terrabacteria group;Firmicutes","Bac84","SAMN07701716","PRJNA412146","Complete",4.37683,4214,4452,,,81
"Shewanella sp. FDAARGOS_354","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_354","SAMN06173367","PRJNA231221","Complete",5.06998,4233,4569,,,103
"Mesoplasma florum","Bacteria;Terrabacteria group;Tenericutes","MouA-2","SAMN07352418","PRJNA394317","Complete",0.781099,675,721,,,29
"Capnocytophaga sp. oral taxon 864","Bacteria;FCB group;Bacteroidetes/Chlorobi group","F0512","SAMN08439036","PRJNA282954","Complete",2.68254,2193,2387,,,47
"Pseudomonas mendocina","Bacteria;Proteobacteria;Gammaproteobacteria","NEB698","SAMN08683323","PRJNA437687","Complete",5.77355,5189,5333,,,65
"Staphylococcus haemolyticus","Bacteria;Terrabacteria group;Firmicutes","SGAir0252","SAMN08103045","PRJNA388547","Complete",2.67459,2447,2638,"human",,60
"Vibrio alginolyticus","Bacteria;Proteobacteria;Gammaproteobacteria","K01M1","SAMN05860636","PRJNA344731","Complete",5.36111,4760,5049,,,129
"Trueperella pyogenes","Bacteria;Terrabacteria group;Actinobacteria","Arash114","SAMN08892324","PRJNA449465","Complete",2.33828,2054,2145,,,47
"Staphylococcus simulans","Bacteria;Terrabacteria group;Firmicutes","MR2","SAMN05238718","PRJNA321327","Complete",2.82692,2618,2761,,,59
"Sinorhizobium fredii CCBAU 45436","Bacteria;Proteobacteria;Alphaproteobacteria","CCBAU 45436","SAMN03761948","PRJNA285929","Complete",6.9138,6198,6758,,,55
"Actinomyces sp. Z16","Bacteria;Terrabacteria group;Actinobacteria","Z16","SAMN08398282","PRJNA431689","Complete",3.76164,2915,3132,,,48
"Chlamydia suis","Bacteria;PVC group;Chlamydiae","5-27b","SAMEA4555931","PRJEB17986","Complete",1.10191,913,988,,,37
"Flavobacterium sp. HYN0056","Bacteria;FCB group;Bacteroidetes/Chlorobi group","HYN0056","SAMN09062264","PRJNA463036","Complete",5.87743,4879,4992,,,63
"Orientia tsutsugamushi","Bacteria;Proteobacteria;Alphaproteobacteria","UT76","SAMEA104570325","PRJEB24834","Complete",2.07819,1411,2235,"human",,34
"Bacillus cytotoxicus","Bacteria;Terrabacteria group;Firmicutes","CH_13","SAMN07367959","PRJNA394959","Complete",4.1624,3898,4355,"human",,105
"Bradyrhizobium sp. 2 39S1MB","Bacteria;Proteobacteria;Alphaproteobacteria","39S1MB","SAMN07448754","PRJNA397110","Complete",7.04452,6441,6635,,,49
"Klebsiella quasipneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CAV2018","SAMN09205485","PRJNA411762","Complete",6.14363,5916,6279,,,87
"Methylobacterium sp. 17SD2-17","Bacteria;Proteobacteria;Alphaproteobacteria","17SD2-17","SAMN09235291","PRJNA472419","Complete",6.78838,5663,6376,,,57
"Streptococcus sobrinus","Bacteria;Terrabacteria group;Firmicutes","NIDR 6715-15","SAMN09232465","PRJNA471712","Complete",2.14475,1872,2081,"human",,63
"Bradyrhizobium diazoefficiens","Bacteria;Proteobacteria;Alphaproteobacteria","XF7","SAMN09205184","PRJNA471208","Complete",9.2697,8354,9028,,,51
"Bordetella parapertussis","Bacteria;Proteobacteria;Betaproteobacteria","D577","SAMN06688237","PRJNA287884","Complete",4.7739,4164,4494,"human",,54
"Pantoea vagans","Bacteria;Proteobacteria;Gammaproteobacteria","FBS135","SAMN06759783","PRJNA383128","Complete",4.94993,4475,4723,,,75
"Candidatus Sulcia muelleri","Bacteria;FCB group;Bacteroidetes/Chlorobi group","SMGRANIG","SAMN08939715","PRJNA450111","Complete",0.271571,253,292,,,30
"Blattabacterium punctulatus","Bacteria;FCB group;Bacteroidetes/Chlorobi group","CPUsv","SAMN09370138","PRJNA474690","Complete",0.614149,545,596,,,32
"Erysipelothrix rhusiopathiae","Bacteria;Terrabacteria group;Firmicutes","ML101","SAMN09365478","PRJNA474664","Complete",1.85425,1713,1832,"human",,55
"Streptococcus dysgalactiae subsp. equisimilis","Bacteria;Terrabacteria group;Firmicutes","NCTC5370","SAMEA3542434","PRJEB6403","Complete",2.07995,1907,2083,"human",,67
"Streptococcus equi subsp. zooepidemicus","Bacteria;Terrabacteria group;Firmicutes","NCTC7022","SAMEA3542438","PRJEB6403","Complete",2.17219,1937,2110,"human",,67
"Aeromonas caviae","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC12244","SAMEA4475690","PRJEB6403","Complete",4.58614,4034,4253,"human",,123
"Faecalibacterium prausnitzii","Bacteria;Terrabacteria group;Firmicutes","APC918/95b","SAMN08494074","PRJNA432550","Complete",2.97094,2676,2861,,,63
"Polynucleobacter necessarius","Bacteria;Proteobacteria;Betaproteobacteria","PPGSP6","SAMEA4378224","PRJEB15088","Complete",1.93441,1489,2136,,,38
"Sulfitobacter sp. SK025","Bacteria;Proteobacteria;Alphaproteobacteria","SK025","SAMN08329232","PRJNA429099","Complete",3.94685,3702,3852,,,46
"Edwardsiella tarda","Bacteria;Proteobacteria;Gammaproteobacteria","ET-1","SAMD00131843","PRJDB7216","Complete",3.7554,3272,3456,,,95
"Pseudomonas protegens","Bacteria;Proteobacteria;Gammaproteobacteria","FD6","SAMN09725839","PRJNA483073","Complete",6.668,5853,6057,,,70
"Vibrio coralliilyticus","Bacteria;Proteobacteria;Gammaproteobacteria","RE22","SAMN09704979","PRJNA482426","Complete",5.78497,5094,5317,,,112
"Bifidobacterium adolescentis","Bacteria;Terrabacteria group;Actinobacteria","6","SAMN07551488","PRJNA399823","Complete",2.20181,1716,1842,,,54
"Stenotrophomonas rhizophila","Bacteria;Proteobacteria;Gammaproteobacteria","GA1","SAMN09809655","PRJNA485554","Complete",6.59855,5141,6389,,,88
"Stenotrophomonas sp. G4","Bacteria;Proteobacteria;Gammaproteobacteria","G4","SAMN09862722","PRJNA486733","Complete",4.47748,3918,4095,,,68
"Mycoplasma synoviae","Bacteria;Terrabacteria group;Tenericutes","NCTC10124","SAMEA3679194","PRJEB6403","Complete",0.848181,672,766,,,34
"Leptospira borgpetersenii serovar Ceylonica","Bacteria;Spirochaetes;Spirochaetia","Piyasena","SAMN08498447","PRJNA401006","Complete",3.99278,3463,3792,"human",,37
"Helicobacter cinaedi","Bacteria;Proteobacteria;delta/epsilon subdivisions","P06D0798","SAMD00106675","PRJDB6556","Complete",2.16598,2019,2220,"human",,39
"Acinetobacter sp. WCHAc010034","Bacteria;Proteobacteria;Gammaproteobacteria","WCHAc010034","SAMN05356835","PRJNA387062","Complete",3.84041,3602,3831,"human",,88
"Alteromonas sp. RKMC-009","Bacteria;Proteobacteria;Gammaproteobacteria","RKMC-009","SAMN09630237","PRJNA480176","Complete",4.9348,4212,4324,,,60
"Hymenobacter sp. sh-6","Bacteria;FCB group;Bacteroidetes/Chlorobi group","sh-6","SAMN10031373","PRJNA490243","Complete",4.18881,3520,3618,,,46
"Helicobacter cinaedi","Bacteria;Proteobacteria;delta/epsilon subdivisions","MRY08-1234","SAMD00047012","PRJDB4571","Complete",2.19926,2361,2405,"human",,38
"Moraxella bovoculi","Bacteria;Proteobacteria;Gammaproteobacteria","57922","SAMN03577768","PRJNA282717","Complete",2.18183,1889,2033,,,49
"Cronobacter sakazakii","Bacteria;Proteobacteria;Gammaproteobacteria","CS-09","SAMN07540306","PRJNA399551","Complete",4.62808,4311,4541,"human",,82
"Polynucleobacter necessarius","Bacteria;Proteobacteria;Betaproteobacteria","PPGSP7","SAMEA4378225","PRJEB15088","Complete",1.70335,1349,1831,,,37
"Lactobacillus salivarius","Bacteria;Terrabacteria group;Firmicutes","DJ-sa-01","SAMN08281078","PRJNA428127","Complete",1.87063,1644,1827,,,77
"Actinobacillus pleuropneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","S4074","SAMN09519162","PRJNA478521","Complete",2.31866,2082,2220,,,61
"Francisella sp. FDC440","Bacteria;Proteobacteria;Gammaproteobacteria","FDC440","SAMN07192706","PRJNA389235","Complete",2.05409,1881,1960,,,38
"Glaesserella parasuis 29755","Bacteria;Proteobacteria;Gammaproteobacteria","29755","SAMN06464217","PRJNA377707","Complete",2.3526,2160,2439,,,59
"Streptococcus intermedius","Bacteria;Terrabacteria group;Firmicutes","NCTC11324","SAMEA4012327","PRJEB6403","Complete",1.93295,1788,1924,"human",,60
"Streptococcus equi subsp. zooepidemicus","Bacteria;Terrabacteria group;Firmicutes","NCTC12090","SAMEA3542451","PRJEB6403","Complete",2.12827,1909,2038,"human",,57
"Streptococcus gordonii","Bacteria;Terrabacteria group;Firmicutes","NCTC7865","SAMEA3594362","PRJEB6403","Complete",2.18761,2008,2154,,,59
"Streptococcus gallolyticus","Bacteria;Terrabacteria group;Firmicutes","NCTC13773","SAMEA3881065","PRJEB6403","Complete",2.49358,2341,2502,"human",,71
"Streptococcus sobrinus","Bacteria;Terrabacteria group;Firmicutes","NCTC10921","SAMEA3729941","PRJEB6403","Complete",2.14511,1873,2081,"human",,63
"Streptococcus dysgalactiae subsp. equisimilis","Bacteria;Terrabacteria group;Firmicutes","NCTC5371","SAMEA3649038","PRJEB6403","Complete",2.10376,1959,2127,"human",,67
"Acinetobacter sp. WCHA45","Bacteria;Proteobacteria;Gammaproteobacteria","WCHA45","SAMN07138955","PRJNA387062","Complete",3.09226,2755,3036,"human",,73
"Lactobacillus curvatus","Bacteria;Terrabacteria group;Firmicutes","ZJUNIT8","SAMN08225692","PRJNA427852","Complete",1.95115,1863,2039,,,65
"Blattabacterium punctulatus","Bacteria;FCB group;Bacteroidetes/Chlorobi group","CPUbt","SAMN09370207","PRJNA474691","Complete",0.612964,541,597,,,32
"Candidatus Sulcia muelleri","Bacteria;FCB group;Bacteroidetes/Chlorobi group","SMKOSYEZ","SAMN08939717","PRJNA450127","Complete",0.244201,221,275,,,30
"Psychrobacter sp. YP14","Bacteria;Proteobacteria;Gammaproteobacteria","YP14","SAMN09245574","PRJNA472840","Complete",2.89531,2278,2399,,,53
"Bordetella parapertussis","Bacteria;Proteobacteria;Betaproteobacteria","A747","SAMN06688234","PRJNA287884","Complete",4.7739,4162,4493,"human",,54
"Sinorhizobium fredii CCBAU 25509","Bacteria;Proteobacteria;Alphaproteobacteria","CCBAU 25509","SAMN03761947","PRJNA285929","Complete",6.81086,6079,6690,,,54
"Methylobacterium sp. 17Sr1-43","Bacteria;Proteobacteria;Alphaproteobacteria","17Sr1-43","SAMN09235362","PRJNA472427","Complete",5.5397,4922,5186,,,61
"Klebsiella quasipneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CAV2013","SAMN09205469","PRJNA411762","Complete",6.0842,5849,6189,,,87
"Bradyrhizobium sp. 3 85S1MB","Bacteria;Proteobacteria;Alphaproteobacteria","85S1MB","SAMN07448748","PRJNA397108","Complete",7.0395,6414,6682,,,50
"Flavobacterium sp. MEBiC07310","Bacteria;FCB group;Bacteroidetes/Chlorobi group","MEBiC07310","SAMN09205926","PRJNA471281","Complete",3.4413,2958,3193,,,48
"Bacillus cytotoxicus","Bacteria;Terrabacteria group;Firmicutes","CH_4","SAMN07367958","PRJNA394959","Complete",4.30355,4012,4516,"human",,106
"Orientia tsutsugamushi","Bacteria;Proteobacteria;Alphaproteobacteria","Kato","SAMEA104570321","PRJEB24834","Complete",2.31945,1689,2483,"human",,35
"Clostridium beijerinckii","Bacteria;Terrabacteria group;Firmicutes","WB53","SAMN09098632","PRJNA470639","Complete",4.28719,3597,3889,,,85
"Staphylococcus simulans","Bacteria;Terrabacteria group;Firmicutes","MR1","SAMN04968151","PRJNA321327","Complete",2.81191,2598,2745,,,59
"Trueperella pyogenes","Bacteria;Terrabacteria group;Actinobacteria","TP4479","SAMN08959312","PRJNA451094","Complete",2.38225,2058,2153,,,46
"Lactobacillus acidophilus","Bacteria;Terrabacteria group;Firmicutes","DSM 20079","SAMN06606133","PRJNA379350","Complete",2.00997,1840,2020,,,60
"Clostridioides difficile ATCC 9689 = DSM 1296","Bacteria;Terrabacteria group;Firmicutes","ATCC 9689 = DSM 1296","SAMN03486969","PRJNA281308","Complete",4.2862,3863,4074,"human",,90
"Halomonas sp. 'Soap Lake #6'","Bacteria;Proteobacteria;Gammaproteobacteria","Soap Lake #6","SAMN06210321","PRJNA360432","Complete",4.80369,4186,4346,,,60
"Pectobacterium carotovorum","Bacteria;Proteobacteria;Gammaproteobacteria","3-2","SAMN03144687","PRJNA264967","Complete",4.97588,4318,4547,"plants",,78
"Burkholderia vietnamiensis","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_239","SAMN05004748","PRJNA231221","Complete",6.93041,5969,6375,"human",,69
"Weissella cibaria","Bacteria;Terrabacteria group;Firmicutes","BM2","SAMN08628864","PRJNA436626","Complete",2.47351,2118,2338,,,88
"Capnocytophaga sp. oral taxon 878","Bacteria;FCB group;Bacteroidetes/Chlorobi group","F0545","SAMN08472925","PRJNA282954","Complete",2.99084,2579,2726,,,48
"Mesoplasma florum","Bacteria;Terrabacteria group;Tenericutes","CnuA-2","SAMN07352416","PRJNA394317","Complete",0.813801,696,745,,,29
"Staphylococcus saprophyticus","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_355","SAMN06173368","PRJNA231221","Complete",2.63917,2399,2596,"human",,58
"Bacillus paralicheniformis","Bacteria;Terrabacteria group;Firmicutes","Bac48","SAMN07701715","PRJNA412146","Complete",4.46438,4166,4467,,,81
"Pediococcus pentosaceus","Bacteria;Terrabacteria group;Firmicutes","KCCM 40703","SAMN06447729","PRJNA376813","Complete",1.75836,1656,1767,,,55
"Providencia stuartii","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_291","SAMN06173304","PRJNA231221","Complete",4.39449,3856,4120,,,78
"Moraxella catarrhalis","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_304","SAMN06173317","PRJNA231221","Complete",1.94198,1673,1804,"human",,50
"Morganella morganii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0057","SAMN04014898","PRJNA316321","Complete",4.13989,3805,4046,"human",,82
"Caulobacter vibrioides","Bacteria;Proteobacteria;Alphaproteobacteria","CB1","SAMN06927531","PRJNA386178","Complete",4.13729,3990,4097,,,51
"Streptococcus sp. FDAARGOS_192","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_192","SAMN04875529","PRJNA231221","Complete",2.43549,2116,2277,,,69
"Lactobacillus sakei","Bacteria;Terrabacteria group;Firmicutes","DS4","SAMN08286755","PRJNA428260","Complete",2.10357,1959,2067,,,65
"Paenibacillus larvae subsp. larvae","Bacteria;Terrabacteria group;Firmicutes","ERIC_I","SAMN06166872","PRJNA358141","Complete",4.28895,4005,4452,,,80
"Nostoc sp. 'Peltigera membranacea cyanobiont' N6","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","N6","SAMN03445855","PRJNA279350","Complete",8.89859,7009,7676,,,114
"Methanococcus maripaludis","Archaea;Euryarchaeota;Methanomada group","DSM 2067","SAMN08466362","PRJNA432904","Complete",1.71492,1778,1848,,,35
"Citrobacter sp. CFNIH10","Bacteria;Proteobacteria;Gammaproteobacteria","CFNIH10","SAMN06040393","PRJNA430813","Complete",5.73823,5521,5942,,,88
"Aeromonas sp. ASNIH1","Bacteria;Proteobacteria;Gammaproteobacteria","ASNIH1","SAMN03455980","PRJNA430813","Complete",5.0794,4544,4901,,,125
"Klebsiella aerogenes","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_139","SAMN03996283","PRJNA231221","Complete",5.2978,4953,5218,"human",,87
"Achromobacter xylosoxidans","Bacteria;Proteobacteria;Betaproteobacteria","FDAARGOS_162","SAMN03996305","PRJNA231221","Complete",6.56574,5777,6023,"human",,57
"Vibrio parahaemolyticus","Bacteria;Proteobacteria;Gammaproteobacteria","10329","SAMN03255431","PRJNA231221","Complete",5.14922,4830,5121,"human",,127
"Proteus mirabilis","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_60","SAMN02934509","PRJNA231221","Complete",4.10557,3667,3865,"human",,82
"Phaeobacter piscinae","Bacteria;Proteobacteria;Alphaproteobacteria","P18","SAMN03294468","PRJNA273580","Complete",4.37497,4069,4191,,,57
"Phaeobacter inhibens","Bacteria;Proteobacteria;Alphaproteobacteria","P72","SAMN03294488","PRJNA273600","Complete",4.42919,4123,4236,,,57
"Escherichia albertii","Bacteria;Proteobacteria;Gammaproteobacteria","ChinaSP140150","SAMN08242133","PRJNA427641","Complete",5.13677,4887,5392,"human",,99
"Acinetobacter pittii","Bacteria;Proteobacteria;Gammaproteobacteria","XJ88","SAMN06187701","PRJNA359166","Complete",4.09962,3794,3950,"human",,73
"Bordetella holmesii","Bacteria;Proteobacteria;Betaproteobacteria","F613","SAMN06124594","PRJNA287884","Complete",3.68098,3228,3659,"human",,56
"Methylorubrum extorquens","Bacteria;Proteobacteria;Alphaproteobacteria","TK 0001","SAMEA104358467","PRJEB23178","Complete",5.71551,4788,5391,,,58
"Shewanella sp. Pdp11","Bacteria;Proteobacteria;Gammaproteobacteria","Pdp11","SAMN04495905","PRJNA312231","Complete",4.9737,4124,4370,,,107
"Bifidobacterium bifidum","Bacteria;Terrabacteria group;Actinobacteria","PRI 1","SAMN06140833","PRJNA257684","Complete",2.24357,1718,1911,,,53
"Bartonella sp. 1-1C","Bacteria;Proteobacteria;Alphaproteobacteria","1-1c","SAMN06213876","PRJNA360985","Complete",1.60062,1306,1414,,,41
"Moraxella osloensis","Bacteria;Proteobacteria;Gammaproteobacteria","TT16","SAMN07498009","PRJNA397939","Complete",2.81801,2376,2504,,,47
"Fusobacterium periodonticum","Bacteria;Fusobacteria;Fusobacteriia","KCOM 1282","SAMN07956210","PRJNA416425","Complete",2.21624,2042,2191,,,45
"Prevotella intermedia","Bacteria;FCB group;Bacteroidetes/Chlorobi group","KCOM 2033","SAMN07955957","PRJNA416397","Complete",2.7778,2349,2509,"human",,47
"Borrelia miyamotoi","Bacteria;Spirochaetes;Spirochaetia","Izh-16","SAMN07572564","PRJNA406856","Complete",1.42811,1251,1406,"human",,31
"Thermococcus sp. EXT12c","Archaea;Euryarchaeota;Thermococci","EXT12c","SAMEA104149373","PRJEB22778","Complete",2.15576,2264,2355,,,45
"Propionibacterium freudenreichii","Bacteria;Terrabacteria group;Actinobacteria","PFRJS18","SAMEA3987120","PRJEB14036","Complete",2.66197,2228,2365,,,44
"Phaeobacter gallaeciensis","Bacteria;Proteobacteria;Alphaproteobacteria","P128","SAMN06834800","PRJNA384319","Complete",4.34935,4037,4135,,,57
"Calothrix sp. NIES-3974","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","NIES-3974","SAMD00081174","PRJDB5665","Complete",5.98588,4529,4761,,,41
"Rickettsia japonica","Bacteria;Proteobacteria;Alphaproteobacteria","Nakase","SAMD00053840","PRJDB4932","Complete",1.28403,1221,1552,"human",,33
"Pseudomonas chlororaphis subsp. aurantiaca","Bacteria;Proteobacteria;Gammaproteobacteria","StFRB508","SAMD00018963","PRJDB3019","Complete",6.99793,6163,6378,,,67
"Aeromonas salmonicida subsp. masoucida","Bacteria;Proteobacteria;Gammaproteobacteria","RFAS1","SAMN05735119","PRJNA342065","Complete",4.91753,4114,4724,,,120
"Staphylococcus lugdunensis","Bacteria;Terrabacteria group;Firmicutes","Klug93G-4","SAMN05591932","PRJNA338738","Complete",2.58415,2358,2501,"human",,69
"Taylorella equigenitalis","Bacteria;Proteobacteria;Betaproteobacteria","09-0932","SAMN06899359","PRJNA385665","Complete",1.63533,1437,1512,,,38
"Candidatus Portiera aleyrodidarum MED (Bemisia tabaci)","Bacteria;Proteobacteria;Gammaproteobacteria","MEAM1","SAMN05292330","PRJNA312470","Complete",0.352068,262,302,,,32
"Mycobacterium intracellulare","Bacteria;Terrabacteria group;Actinobacteria","FLAC0181","SAMN07528789","PRJNA315990","Complete",5.63864,5195,5321,"human",,46
"Listeria ivanovii subsp. ivanovii","Bacteria;Terrabacteria group;Firmicutes","NCTC11846","SAMEA4362421","PRJEB6403","Complete",2.91955,2739,2913,"human",,67
"Francisella noatunensis subsp. orientalis","Bacteria;Proteobacteria;Gammaproteobacteria","FNO01","SAMN03354399","PRJNA275870","Complete",1.86244,1452,1900,,,39
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","SJ42","SAMN07274465","PRJNA391747","Complete",5.93863,5307,5557,,,46
"Pantoea ananatis","Bacteria;Proteobacteria;Gammaproteobacteria","YJ76","SAMN06711086","PRJNA382605","Complete",5.14833,4602,4875,"plants",,79
"Klebsiella michiganensis","Bacteria;Proteobacteria;Gammaproteobacteria","K516","SAMN07315162","PRJNA393093","Complete",6.41874,5978,6367,"human",,86
"Sulfolobus acidocaldarius","Archaea;TACK group;Crenarchaeota","Y14 16-22","SAMN06562951","PRJNA378849","Complete",2.28671,2320,2415,,,48
"Raoultella ornithinolytica","Bacteria;Proteobacteria;Gammaproteobacteria","Ro24724","SAMN06909736","PRJNA385928","Complete",5.94435,5463,5785,,,85
"Vibrio anguillarum","Bacteria;Proteobacteria;Gammaproteobacteria","87-9-116","SAMN07236662","PRJNA390489","Complete",4.33812,3786,4057,,,102
"Ureaplasma parvum","Bacteria;Terrabacteria group;Tenericutes","hebnu1229","SAMN07246859","PRJNA390580","Complete",0.737737,547,624,"human",,30
"Lactobacillus johnsonii","Bacteria;Terrabacteria group;Firmicutes","UMNLJ22","SAMN04573146","PRJNA316010","Complete",2.04239,1749,2000,,,77
"Vibrio campbellii CAIM 519 = NBRC 15631","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 25920, CAIM 519T","SAMN05172285","PRJNA322669","Complete",5.1781,4630,5002,,,134
