rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
DQ469576,other,obligate aerobe,flagella,no,yes,rod,chain,negative,66.4,5,0.45,7.55,33.5,20.3
EU169227,other,obligate aerobe,flagella,no,yes,rod,chain,negative,65.6,3,0.45,8.5,35,11.6
AJ550617,other,NA,non-motile,no,yes,rod,clump,positive,37.5,2.25,0.5,8,27.5,NA
EF035074,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,65.65,2,0.4,7,28,0
AB105049,other,anaerobic,flagella,NA,NA,rod,NA,NA,34.6,2.5,0.85,5.9,55,3.2
AB304804,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,38.8,1.9,0.65,9,21,3.5
B304805,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,42.2,2.4,1,8.5,22.5,3.5
B304806,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,41.5,2.55,0.7,8.5,20,3
AB304808,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,41.3,2.8,0.9,9,20,3.5
DQ492749,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,45.2,1.9,0.35,7.5,26,6
AM745438,marine sediment,facultative anaerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,62.85,1.25,0.8,6.75,30,1.5
AM748927,soil,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,63,1.65,0.75,6.5,30,2.5
AB361248,soil,obligate aerobe,non-motile,no,yes,rod,chain,negative,36.9,0.7,0.55,7,37,0
EU156065,other,facultative anaerobe,non-motile,no,yes,rod,chain,negative,41.1,5.4,0.3,7.5,30,5
AY228463,plant associated,obligate aerobe,non-motile,no,yes,rod,NA,positive,61.4,NA,NA,8.75,27,7.5
EF660751,soil,obligate aerobe,NA,no,yes,rod,chain,negative,41.4,3,0.7,7,25,1.25
AB270585,marine sediment,obligate aerobe,non-motile,no,yes,rod,chain,negative,50.1,2.2,0.475,8.05,30,3.5
EF424395,soil,obligate aerobe,gliding,no,yes,rod,chain,negative,31,1.8,0.5,7.5,37,1
AB294107,marine sediment,obligate aerobe,non-motile,no,yes,rod,chain,negative,35,9.5,0.6,8,27.5,3
AB305640,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,62.9,4.9,0.5,6.75,30,0
AB364234,hotspring,anaerobic,flagella,no,yes,ovoid/coccobacillus,chain,negative,35.1,1.7,0.45,7.25,55,0.25
AB125279,other,anaerobic,non-motile,yes,yes,rod,NA,NA,41.3,5.5,0.75,7.5,52.5,NA
AB105164,built environment,obligate aerobe,flagella,no,yes,rod,NA,positive,46.7,1.2,0.65,8.5,34,6
AY044055,other,obligate aerobe,flagella,yes,NA,rod,chain,NA,52.5,5.1,1.25,6.5,57.5,0.25
AY044055,other,obligate aerobe,flagella,yes,NA,rod,chain,NA,52.5,5.1,1.25,6.5,57.5,0.25
AY522568,food product,obligate aerobe,non-motile,no,NA,cocci,NA,positive,73,0.9,0.9,7,30,4
EU391156,plant associated,anaerobic,"motile, but unspecified structure",yes,NA,rod,clump,positive,57.5,3,0.65,7.95,37,3
AM921780,freshwater,NA,non-motile,NA,yes,rod,NA,negative,68.6,2,0.85,7.75,30,2.5
EU290160,other,obligate aerobe,non-motile,yes,yes,ovoid/coccobacillus,NA,negative,69.5,0.9,0.7,7,30,0.5
DQ989634,hypersaline environment,obligate aerobe,flagella,yes,NA,rod,chain,positive,44.9,3,0.5,7.5,37,7
E16651,other,facultative anaerobe,non-motile,no,no,rod,chain,positive,44.8,NA,NA,4.2,25,NA
JN171665,soil,obligate aerobe,non-motile,no,yes,cocci,NA,negative,72.1,0.85,0.86,7,30,NA
JQ414031,other,anaerobic,flagella,no,yes,rod,none,negative,40.5,1.75,0.5,6.8,61,2.25
AB688113,marine sediment,obligate aerobe,flagella,NA,yes,NA,NA,negative,67.6,2.75,0.4,7.5,20,1.5
JQ339788,plant associated,obligate aerobe,NA,no,yes,rod,NA,negative,59.52,1.435,0.45,7,28,1
AF529063,other,obligate aerobe,flagella,no,yes,rod,clump,positive,73,0.9,1.85,6.5,30,NA
EU250489,other,obligate aerobe,NA,yes,yes,rod,chain,positive,69,NA,NA,7.5,45,5
EF133690,other,facultative anaerobe,non-motile,yes,yes,rod,chain,positive,73.3,0.75,0.3,7,30,1.5
EF626689,freshwater,obligate aerobe,non-motile,no,yes,rod,chain,positive,71.8,5.5,0.8,7.5,30,0.5
EF466126,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,positive,67.5,NA,NA,7.3,28,1.5
EF601828,soil,obligate aerobe,non-motile,no,yes,cocci,chain,positive,70.9,NA,1.1,7.25,28,0
AB268586,other,facultative anaerobe,non-motile,no,yes,rod,chain,positive,73.6,1.85,0.5,7.2,25,0
AM409361,other,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,positive,63.95,1.5,0.5,7.5,27.5,2.5
EF680886,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,65.5,1.3,0.7,9.5,41,0
EF466124,soil,obligate aerobe,"motile, but unspecified structure",no,yes,ovoid/coccobacillus,chain,positive,69,NA,NA,8,28,2
AY762976,other,obligate aerobe,flagella,yes,yes,rod,chain,positive,46.2,1.65,0.5,8,37,10
JQ746645,other,microaerophile,non-motile,NA,yes,rod,clump,negative,41.3,0.4,1,NA,37,NA
EF694028,other,facultative anaerobe,non-motile,no,yes,ovoid/coccobacillus,chain,positive,NA,NA,NA,7,30,0
JQ936674,other,microaerophile,axial filament,NA,yes,rod,clump,negative,33.6,0.5,1.5,NA,37,NA
EU014873,other,facultative anaerobe,flagella,yes,yes,rod,chain,variable,57.8,3.5,0.9,7,28,0
EU014872,other,obligate aerobe,flagella,yes,yes,rod,chain,positive,60.3,2.5,0.7,7,28,0
JQ807220,marine sediment,obligate aerobe,non-motile,no,yes,rod,clump,negative,68.9,3.4,0.6,7.25,33.5,2.5
AM911047,other,obligate aerobe,non-motile,no,yes,rod,chain,positive,45.9,6,0.5,7.5,37,10
HQ596491,wastewater,obligate aerobe,flagella,no,no,rod,clump,negative,68.8,1.6,0.85,7.25,48,0.5
AM905297,hypersaline environment,facultative anaerobe,"motile, but unspecified structure",no,yes,rod,chain,positive,47.5,4.25,0.9,7.5,37,6.25
AM421024,soil,obligate aerobe,non-motile,no,yes,ovoid/coccobacillus,chain,negative,66.67,1.75,1.35,NA,32.5,0
EF547368,soil,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,72.3,2.5,0.55,7,28,0
HQ686140,seawater,NA,non-motile,NA,no,rod,NA,negative,58.8,2,0.6,NA,25,3.25
EF465534,soil,obligate aerobe,flagella,no,yes,rod,chain,negative,59.4,1.25,0.5,7,29.5,3
HQ336489,seawater,obligate aerobe,non-motile,NA,NA,rod,clump,negative,61.6,1,0.5,7.5,25,3
AM117931,marine sediment,obligate aerobe,flagella,no,yes,rod,chain,negative,62.6,3.5,0.35,7.5,25,2.5
JN256678,plant associated,obligate aerobe,"motile, but unspecified structure",no,no,rod,clump,negative,64.6,1.75,0.5,7.25,29,0
AB304258,hotspring,obligate aerobe,flagella,no,yes,rod,chain,negative,66,0.7,0.4,6.5,45,0
JQ778314,other,NA,flagella,NA,yes,rod,NA,negative,61.8,1.45,0.85,NA,28,2
EU143360,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,NA,2.5,0.65,7.5,30,4.25
EU143361,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,negative,NA,1.25,0.65,7,24.5,5
DQ088664,other,obligate aerobe,flagella,no,no,rod,chain,negative,61.2,1.2,0.7,NA,27.5,2
DQ007434,other,obligate aerobe,"motile, but unspecified structure",no,no,rod,chain,negative,38.9,2.45,0.75,7.5,20.5,3.5
EU126661,other,anaerobic,non-motile,no,yes,rod,chain,negative,43,1.9,0.7,7,37,0
EU221275,seawater,obligate aerobe,non-motile,no,yes,rod,chain,negative,36.8,0.8,2,7.5,30,2
EU126661,other,anaerobic,non-motile,no,yes,rod,chain,negative,43,1.9,0.7,7,37,0
EF117253,soil,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,clump,negative,59.5,1.75,0.75,7.25,29,1.5
AY230848,soil,obligate aerobe,non-motile,yes,yes,NA,NA,positive,65.8,NA,NA,9.75,29,2.5
AY208751,other,facultative anaerobe,"motile, but unspecified structure",yes,yes,rod,clump,variable,53,2.5,0.6,7,37,NA
AB263096,soil,NA,non-motile,yes,NA,NA,chain,NA,72,NA,NA,7.5,21.5,NA
AB243866,freshwater sediment,anaerobic,NA,yes,NA,rod,NA,positive,42.3,NA,NA,8.5,27,17.4
HQ839786,soil,obligate aerobe,flagella,no,yes,rod,clump,negative,65.9,2.1,0.75,7,29,0
HE662814,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,NA,negative,75,NA,NA,7,NA,NA
JN687581,other,obligate aerobe,non-motile,no,yes,rod,none,negative,60.7,1.3,0.7,NA,28,NA
JQ941713,soil,obligate aerobe,flagella,no,yes,rod,clump,negative,65.3,1.35,0.35,7.25,37,1
AB735546,other,obligate aerobe,non-motile,NA,yes,rod,clump,negative,67.3,1.4,1,5.25,22.5,8.75
EF494193,other,obligate aerobe,non-motile,no,yes,rod,NA,negative,67.5,1.51,0.52,7,28,0.5
JQ946365,other,obligate aerobe,flagella,NA,no,rod,NA,negative,67.1,3,0.45,NA,NA,NA
AJ227811,seawater,obligate aerobe,non-motile,NA,no,rod,clump,negative,62.8,0.9,0.35,7,30,4
CP003390,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,clump,negative,44.7,1.5,0.6,8,30,3
CP003380,other,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,clump,negative,47.8,1.5,0.7,8,34,3
AB370244,soil,obligate aerobe,non-motile,yes,yes,rod,clump,positive,71.1,NA,NA,NA,27.5,NA
JQ045549,seawater,obligate aerobe,non-motile,NA,no,rod,NA,negative,66,2,0.4,7,30,2
JQ672626,marine sediment,facultative anaerobe,flagella,NA,yes,rod,clump,negative,56,1.655,1.1,8,23.5,1.5
HE611955,freshwater,facultative anaerobe,flagella,no,yes,rod,clump,negative,NA,2.25,0.85,NA,NA,NA
HM800935,plant associated,obligate aerobe,flagella,no,yes,rod,clump,negative,53.7,1.35,0.4,NA,33.5,3.5
HE801216,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,48.5,2.5,1.25,6.1,22.5,NA
EU046270,soil,obligate aerobe,flagella,yes,yes,rod,clump,positive,50.5,1.1,0.45,7,33.5,2.5
JQ417431,soil,obligate aerobe,NA,NA,NA,rod,clump,negative,57.4,1.8,0.35,6.5,NA,0
JQ291575,plant associated,NA,flagella,NA,yes,rod,clump,negative,NA,1.5,0.5,NA,32,NA
EF143926,soil,obligate aerobe,non-motile,yes,NA,rod,chain,positive,70.3,NA,NA,7.5,30,NA
AY254309,other,NA,flagella,NA,yes,cocci,clump,negative,NA,NA,NA,NA,35,NA
AJ564643,seawater,obligate aerobe,NA,NA,yes,rod,clump,negative,35.4,1.95,0.4,7,25,3
AB098510,food product,obligate aerobe,flagella,no,yes,cocci,clump,negative,42.1,5,0.15,8,27.5,2.5
AY694003,seawater,obligate aerobe,non-motile,NA,no,rod,NA,negative,45,2,0.4,NA,13,0.35
AY694002,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,43,2.5,0.4,NA,14,0.35
AY694004,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,39,2.5,0.45,NA,12.5,1
AY694005,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,40,3.25,0.45,NA,12.5,1
EF379274,soil,facultative anaerobe,flagella,yes,NA,rod,NA,positive,46.3,4.25,1,7,37,NA
EU074168,soil,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,negative,65.47,2,0.4,7,28,1
AY426714,soil,obligate aerobe,NA,no,no,NA,NA,positive,72,NA,NA,8,25,NA
AY354285,hypersaline environment,obligate aerobe,NA,yes,NA,NA,NA,positive,71.9,NA,NA,8,25,4.5
AF466821,other,NA,non-motile,no,NA,rod,NA,NA,NA,NA,NA,NA,31,NA
AJ535639,food product,facultative anaerobe,"motile, but unspecified structure",yes,NA,rod,clump,positive,39.2,1.5,0.65,8.5,35,NA
AY423718,estuarine sediment,obligate aerobe,non-motile,no,NA,rod,NA,positive,72,2.7,0.45,7,25,0.5
AY054972,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,NA,NA,NA,7,31.5,NA
AY351983,estuarine water,facultative anaerobe,flagella,no,NA,rod,NA,negative,45,1.5,0.7,NA,22.5,3.3
AF500075,seawater,facultative anaerobe,flagella,no,NA,rod,NA,negative,40,1.5,0.7,NA,22.5,3.3
AF529199,soil,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y12301,marine sediment,obligate aerobe,non-motile,NA,yes,cocci,chain,negative,62.7,2.3,NA,7.3,32.5,1.5
JX275860,other,obligate aerobe,flagella,yes,yes,cocci,NA,negative,73,1.2,1.2,7,30,0
HE819389,soil,obligate aerobe,non-motile,NA,yes,rod,NA,negative,62.5,3,0.55,8,30,0
JX218021,wastewater,obligate aerobe,non-motile,no,yes,rod,NA,negative,55,1.5,0.9,6.5,25,0
JQ911704,seawater,obligate aerobe,non-motile,no,yes,rod,clump,negative,42.1,5.75,0.4,7.25,30,2
JQ002654,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,46.5,1.25,0.35,7.5,15,NA
JQ259859,seawater,obligate aerobe,non-motile,NA,yes,rod,clump,negative,38.6,1.95,0.3,7,25,2.5
JQ937283,marine sediment,obligate aerobe,gliding,NA,yes,rod,clump,negative,38.6,1.7,0.4,8,32.5,3.5
JF825522,freshwater,obligate aerobe,non-motile,no,yes,rod,clump,negative,38.6,1,0.3,7,28,NA
FR687202,seawater,obligate aerobe,non-motile,no,yes,rod,clump,negative,45.6,5,0.75,NA,33.5,2
DQ239766,soil,obligate aerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,70.4,NA,NA,NA,30,NA
DQ682470,soil,NA,flagella,NA,NA,rod,NA,negative,67.6,1.2,4.35,6,30,0.75
DQ314581,freshwater,facultative anaerobe,flagella,no,no,rod,NA,negative,69.5,3.25,0.35,9,27.5,0.375
DQ459874,other,obligate aerobe,non-motile,yes,NA,rod,NA,positive,51,4.5,0.6,6.5,45,0.35
AY693997,soil,obligate aerobe,gliding,NA,yes,rod,NA,negative,40,NA,NA,NA,NA,0.35
AY693998,soil,obligate aerobe,gliding,NA,yes,rod,NA,negative,39,NA,NA,NA,9,0.35
AY693999,soil,obligate aerobe,gliding,NA,yes,rod,NA,negative,35,NA,NA,NA,9,0.35
AY693401,freshwater,obligate aerobe,non-motile,no,yes,rod,NA,negative,37,1.5,0.45,NA,12.5,0.35
AF473835,other,anaerobic,non-motile,no,no,cocci,none,negative,49.3,0.55,0.55,NA,NA,NA
AB092566,other,obligate aerobe,non-motile,yes,yes,NA,NA,positive,69.15,NA,NA,NA,37,NA
JQ906088,seawater,obligate aerobe,non-motile,no,yes,rod,clump,negative,68.9,3,0.7,NA,27.5,NA
JQ029111,freshwater,obligate aerobe,non-motile,NA,yes,rod,clump,negative,42.4,1,0.45,7,30,0
EF363713,soil,NA,flagella,NA,NA,rod,NA,negative,68.7,0.4,2.05,6.75,25,0
AJ555244,other,obligate aerobe,non-motile,NA,NA,rod,NA,negative,63.3,NA,NA,5.75,15,0.45
JX046042,other,obligate aerobe,non-motile,no,yes,rod,clump,negative,39.8,1,0.35,7.25,32.5,0.5
JN426849,marine sediment,obligate aerobe,non-motile,no,yes,rod,clump,negative,39.9,2.7,0.475,7,26.5,0
JQ809697,other,anaerobic,non-motile,no,yes,rod,NA,negative,55.1,4.25,1,6.5,39,0.7
AB552861,soil,obligate aerobe,non-motile,NA,yes,ovoid/coccobacillus,clump,negative,60.1,3.25,1.2,NA,28,NA
HE806187,hypersaline environment,anaerobic,"motile, but unspecified structure",NA,NA,spirillum/corkscrew,NA,negative,58.2,15,0.2,9.75,37.5,6.25
JF748733,other,obligate aerobe,flagella,NA,yes,ovoid/coccobacillus,NA,NA,49.5,1,1.05,7,30,4
EF460545,soil,NA,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,4.5,3,NA,25,NA
KC493642,plant associated,NA,NA,yes,yes,ovoid/coccobacillus,NA,NA,NA,3.5,2.5,5,25,NA
AY331143,other,anaerobic,flagella,yes,NA,rod,NA,positive,55.5,11.5,0.5,7.5,50,0.5
AF534573,built environment,facultative aerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,57,2.5,1,7.25,32.5,1
AY125964,other,obligate aerobe,"motile, but unspecified structure",no,no,rod,chain,negative,36.1,3.2,0.6,6.6,55,0.15
AY694009,seawater,obligate aerobe,gliding,NA,yes,rod,NA,negative,39,5,0.5,NA,13.5,0.35
AY694009,seawater,obligate aerobe,gliding,NA,yes,rod,NA,negative,42,8.5,0.5,NA,11.5,0.35
AY694008,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,32,5.5,0.4,NA,9,0.25
AY694007,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,36,5.5,0.45,NA,9,0.4
AY694006,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,34,4,0.5,NA,11.5,0.4
EU399548,marine sediment,obligate aerobe,flagella,NA,NA,rod,NA,negative,57.9,0.55,0.85,7.75,26.5,1.5
EU819081,other,NA,non-motile,no,NA,rod,NA,negative,61,1.3,0.85,NA,31,6.5
JQ619535,plant associated,obligate aerobe,non-motile,yes,yes,NA,none,positive,71.6,NA,NA,7,34,NA
JQ768361,soil,obligate aerobe,non-motile,yes,yes,NA,none,positive,71.7,NA,NA,7.5,32.5,NA
JQ073731,plant associated,obligate aerobe,non-motile,yes,no,NA,none,positive,64.51,1.43,0.81,7,28,NA
JQ639051,other,obligate aerobe,flagella,no,yes,rod,clump,positive,70,2.8,1.8,7,30,0
GU564360,soil,obligate aerobe,"motile, but unspecified structure",NA,yes,rod,none,positive,71.6,0.43,0.27,8,28,NA
EU977596,other,obligate aerobe,non-motile,no,yes,cocci,clump,positive,70.6,NA,NA,6.75,30,NA
JX977118,NA,obligate aerobe,non-motile,yes,yes,cocci,NA,positive,NA,NA,NA,7.5,29,NA
AB096084,other,anaerobic,flagella,yes,NA,cocci,NA,positive,72.2,NA,NA,NA,37,NA
AB329630,other,obligate aerobe,non-motile,NA,yes,rod,clump,positive,64.4,0.4,0.25,6.5,30,NA
Y368458,other,NA,NA,no,yes,rod,NA,NA,NA,NA,NA,NA,32.5,NA
AY423719,estuarine sediment,obligate aerobe,non-motile,no,NA,rod,NA,positive,70,1.5,0.35,7,30,1
Y090110,plant associated,facultative anaerobe,flagella,yes,NA,rod,NA,variable,51.7,4,0.9,7,32.5,1
AY238513,wastewater,obligate aerobe,non-motile,no,yes,rod,NA,positive,NA,NA,NA,NA,23.5,NA
AF473836,other,anaerobic,NA,no,NA,cocci,chain,negative,NA,0.4,NA,NA,NA,NA
AF473836,other,anaerobic,NA,no,NA,cocci,chain,negative,NA,0.4,NA,NA,NA,NA
AY443036,food product,obligate aerobe,"motile, but unspecified structure",no,NA,rod,NA,negative,43.7,2.6,0.65,NA,37.5,NA
AY443038,food product,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,negative,44.3,2.3,0.7,NA,37.5,NA
AY443039,other,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,negative,41.9,2.6,0.7,7,37.5,NA
AB331896,human - fecal,anaerobic,non-motile,no,NA,rod,NA,negative,48.1,1.45,0.85,NA,NA,NA
JQ898451,human - mouth,NA,non-motile,NA,no,rod,NA,NA,NA,NA,NA,NA,NA,NA
AGUD010000681,other,obligate aerobe,non-motile,no,yes,rod,NA,positive,74.1,1.05,0.35,6.75,32,NA
EU925562,plant associated,NA,NA,yes,no,rod,chain,NA,71,NA,NA,7.5,26,2.5
JX164255,seawater,obligate aerobe,non-motile,no,yes,rod,clump,positive,71.6,1.8,0.65,7,30,0
JN243353,soil,NA,non-motile,no,yes,rod,clump,positive,71,NA,NA,NA,30,0.5
JN033773,soil,obligate aerobe,flagella,NA,yes,rod,NA,positive,74.1,1.4,1.4,7,30,NA
FM178840,other,NA,non-motile,no,no,rod,NA,positive,NA,1.4,0.75,8,25,NA
JN033772,soil,obligate aerobe,flagella,NA,yes,rod,NA,positive,73.2,1.4,1.4,7,30,NA
AB695378,marine sediment,facultative anaerobe,non-motile,no,yes,cocci,NA,positive,73.2,0.55,0.55,7,28,NA
EU158190,bioreactor,anaerobic,non-motile,no,NA,rod,clump,negative,41.9,0.35,8.25,6.75,37,NA
EU521689,soil,obligate aerobe,non-motile,NA,NA,NA,NA,positive,77,NA,NA,NA,30,3
GQ456228,other,anaerobic,non-motile,no,yes,rod,clump,positive,62.5,1.5,0.5,NA,37,NA
HQ599197,soil,obligate aerobe,flagella,yes,no,cocci,none,positive,70.8,NA,NA,NA,27.5,NA
JQ922512,soil,obligate aerobe,non-motile,yes,yes,rod,NA,positive,74,NA,NA,NA,NA,NA
EU438901,seawater,obligate aerobe,non-motile,no,no,rod,NA,negative,54.7,2.05,0.65,7.5,26.5,5.5
EU669904,other,obligate aerobe,flagella,no,no,rod,NA,negative,26.9,2,0.5,NA,30,3
EU046268,soil,facultative anaerobe,flagella,yes,no,rod,NA,positive,41.8,2.75,0.9,8.5,38.5,7.5
AY208856,other,NA,NA,NA,yes,rod,NA,NA,NA,NA,NA,NA,31,NA
DQ830982,marine sediment,obligate aerobe,non-motile,NA,NA,cocci,NA,positive,NA,NA,NA,8,30,NA
AJ535729,freshwater,obligate aerobe,NA,NA,yes,spirillum/corkscrew,NA,NA,34.5,2.75,0.575,7,29,3.025
DQ374637,other,NA,non-motile,yes,no,rod,chain,positive,37.3,7,NA,6,30,NA
DQ296031,soil,anaerobic,"motile, but unspecified structure",yes,no,rod,NA,positive,31.5,6.5,1.1,6.85,17.5,1
AM939778,soil,obligate aerobe,"motile, but unspecified structure",NA,NA,rod,NA,negative,66.15,2.35,0.45,7.6,33.5,1
EU541349,soil,NA,flagella,no,yes,rod,NA,negative,65.7,1.73,0.96,7,38.5,6.25
AY228461,seawater,facultative aerobe,gliding,no,yes,rod,NA,negative,34,1.3,0.65,8.25,23,3
x97366,other,NA,"motile, but unspecified structure",NA,NA,rod,NA,negative,39.4,NA,NA,NA,31,NA
AY253862,plant associated,NA,non-motile,NA,NA,rod,NA,NA,69,NA,NA,NA,29,NA
AY253866,soil,NA,non-motile,NA,NA,rod,NA,NA,68,NA,NA,NA,22.5,NA
EU338490,hypersaline environment,anaerobic,non-motile,no,NA,rod,NA,positive,41.7,4.5,0.35,9.9,51,2.3
EU338490,hypersaline environment,anaerobic,non-motile,no,NA,rod,NA,positive,41,2.5,0.6,9.5,52,2.2
AY424896,seawater,obligate aerobe,non-motile,no,NA,rod,NA,negative,71.5,1.6,0.75,7.75,28,5.1
AY424898,seawater,obligate aerobe,non-motile,no,NA,rod,NA,negative,67.3,1.1,0.6,7.75,30,5.4
AJ575658,soil,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,negative,51.5,3.25,0.8,7,29,4
AJ250317,soil,facultative anaerobe,"motile, but unspecified structure",yes,NA,rod,NA,negative,51.6,3.25,0.7,7,32.5,6
AY323608,other,facultative anaerobe,flagella,yes,NA,rod,NA,positive,NA,3,0.5,NA,33.5,NA
AY323609,other,facultative anaerobe,flagella,yes,NA,rod,NA,positive,NA,2.5,0.5,NA,33.5,NA
AY323610,other,facultative anaerobe,flagella,yes,NA,rod,NA,positive,NA,2,0.5,NA,NA,NA
AB331897,human - fecal,anaerobic,non-motile,no,NA,NA,NA,negative,49,1.55,0.95,NA,NA,NA
AY221956,plant endophyte,NA,flagella,yes,NA,rod,NA,negative,NA,2.15,0.65,2.8,NA,NA
AJ550939,seawater,obligate aerobe,non-motile,no,NA,rod,NA,negative,60.1,4,2.15,7.5,27.5,4
AF459454,plant associated,NA,flagella,NA,yes,rod,NA,negative,58.75,2.5,0.8,3.5,NA,3
AY822044,soil,obligate aerobe,non-motile,no,yes,cocci,clump,positive,71.5,1.25,1.25,7.25,19.5,0
AY262825,soil,obligate aerobe,non-motile,NA,no,rod,NA,positive,NA,NA,NA,8,28.5,NA
AF547209,freshwater,obligate aerobe,"motile, but unspecified structure",yes,yes,rod,chain,positive,43.2,4.5,1.3,5.25,30,2
DQ280367,soil,obligate aerobe,flagella,yes,NA,rod,NA,positive,43.3,1.5,1.7,6,31.5,1.5
DQ239766,soil,obligate aerobe,"motile, but unspecified structure",NA,no,rod,NA,negative,70.4,NA,NA,NA,25.5,NA
DQ682470,soil,NA,flagella,NA,NA,rod,NA,negative,67.6,1.2,4.35,6,30,0.75
DQ314581,freshwater,facultative anaerobe,flagella,no,no,rod,NA,negative,69.5,3.25,0.35,8,32.5,0.25
EF207157,other,anaerobic,non-motile,NA,NA,rod,NA,negative,52,1.95,0.8,7.2,34,1.5
AY166684,freshwater sediment,obligate aerobe,non-motile,no,no,cocci,clump,negative,61.5,2.5,NA,7.25,20,NA
AF454510,built environment,obligate aerobe,non-motile,yes,no,NA,NA,positive,NA,NA,NA,NA,NA,1.5
AB112082,soil,obligate aerobe,NA,yes,yes,NA,NA,positive,71,NA,NA,NA,27.5,NA
DQ459874,other,obligate aerobe,non-motile,yes,NA,rod,NA,positive,51,4.5,0.6,6.5,45,0.35
DQ925472,other,anaerobic,non-motile,no,NA,cocci,chain,positive,34,0.8,0.64,NA,37,NA
FM244839,hypersaline environment,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,37.1,2.75,1.25,8.25,40,10
AB180773,soil,obligate aerobe,non-motile,yes,yes,rod,chain,positive,69.1,NA,1.1,5,25,NA
EF187256,seawater,anaerobic,non-motile,no,NA,rod,NA,negative,58.5,3,1,7.5,28,2.5
EU878005,other,obligate aerobe,non-motile,no,NA,rod,clump,positive,72,1.45,0.45,7,28,NA
AM900832,other,obligate aerobe,non-motile,no,yes,rod,chain,negative,69.4,3.5,1,7.5,37,19.72
AB285020,other,facultative anaerobe,flagella,no,yes,rod,chain,negative,65.5,1.5,0.75,7.25,38.5,22.33
AB245394,soil,obligate aerobe,non-motile,NA,yes,cocci,chain,positive,66.8,0.85,0.35,7,30,3
DQ401092,seawater,obligate aerobe,non-motile,NA,yes,rod,chain,positive,73.3,1.1,0.45,6.5,27.5,3
DQ923130,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,68,1.1,0.5,7.5,37,15
DQ344632,soil,obligate aerobe,non-motile,yes,no,rod,chain,positive,74.1,NA,NA,7.5,28,2.5
AM778575,other,obligate aerobe,non-motile,yes,no,rod,chain,positive,NA,NA,0.36,7,20,0
AM778577,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,NA,NA,0.51,7,23.5,2.5
EU009865,other,facultative anaerobe,non-motile,yes,yes,rod,chain,positive,61,1.5,1,7,27.5,0
EU006090,other,obligate aerobe,non-motile,yes,yes,rod,chain,positive,64.4,NA,NA,7,30,0
AM900767,other,obligate aerobe,"motile, but unspecified structure",no,yes,rod,chain,positive,69.5,NA,NA,7,28,0
EU074850,other,facultative anaerobe,non-motile,yes,yes,rod,chain,positive,36.5,1,0.65,7,30,0
EF125184,soil,obligate aerobe,flagella,yes,yes,rod,chain,positive,53.7,4.5,0.65,7.5,37,1.5
EF154512,soil,facultative anaerobe,non-motile,yes,yes,rod,chain,positive,39.2,1.85,0.45,7,17.5,4.5
EU037903,bioreactor,anaerobic,flagella,yes,yes,rod,chain,positive,33.1,4.75,0.6,7,37,0
EU081509,other,facultative anaerobe,NA,yes,yes,rod,chain,positive,51.3,2.75,0.5,7,37,2
