"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T03159","lmoq","1288295","Listeria monocytogenes 6179","Listeria monocytogenes 6179","KOALA","TAX: 1288295","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000577745.1)            BioProject: 194518",NA,NA,NA,3072826,3107,108,2014,"Chromosome","Circular","HG813249",3010620,"HG813249","1288295"
"T03159","lmoq","1288295","Listeria monocytogenes 6179","Listeria monocytogenes 6179","KOALA","TAX: 1288295","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000577745.1)            BioProject: 194518",NA,NA,NA,3072826,3107,108,2014,"Plasmid","LM6179; Circular","HG813250",62206,"HG813250","1288295"
"T03180","lmr","1437838","Listeria monocytogenes R479a","Listeria monocytogenes R479a","KOALA","TAX: 1437838","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000613085.1)            BioProject: 242481",NA,NA,"Isolated from smoked salmon in Denmark.",3031650,3060,120,2014,"Chromosome","Circular","HG813247",2944998,"HG813247","1437838"
"T03180","lmr","1437838","Listeria monocytogenes R479a","Listeria monocytogenes R479a","KOALA","TAX: 1437838","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000613085.1)            BioProject: 242481",NA,NA,"Isolated from smoked salmon in Denmark.",3031650,3060,120,2014,"Plasmid","pLMR479a; Circular","HG813248",86652,"HG813248","1437838"
"T03477","lmok","1639","Listeria monocytogenes NE dc2014","Listeria monocytogenes NE dc2014","KOALA","TAX: 1639","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000600015.1)            BioProject: 241322",NA,NA,NA,2904662,2770,86,2014,"Chromosome","Circular","CP007492",2904662,"CP007492","1639"
"T03478","lmv","1639","Listeria monocytogenes CFSAN006122","Listeria monocytogenes CFSAN006122","KOALA","TAX: 1639","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000681515.1)            BioProject: 215355",NA,NA,NA,2906670,2776,86,2014,"Chromosome","Circular","CP007600",2906670,"CP007600","1639"
"T03479","lmom","1639","Listeria monocytogenes Lm60","Listeria monocytogenes Lm60","KOALA","TAX: 1639","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000746625.1)            BioProject: 255073","Human pathogen","H00332  Listeriosis","Fast cold-adapting serotype 1/2a human isolate.            Important food-borne pathogen.            Isolated from a sporadic human listeriosis case in Switzerland.",2989591,2904,86,2014,"Chromosome","Circular","CP009258",2989591,"CP009258","1639"
"T00067","lin","LISIN, 272626","Listeria innocua","Listeria innocua Clip11262 (serotype 6a)","manual","TAX: 272626","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000195795.1)            BioProject: 86",NA,NA,"Nonpathogenic Listeria species",3093113,3043,84,2001,"Chromosome","Circular","AL592022",3011208,"AL592022","272626"
"T00067","lin","LISIN, 272626","Listeria innocua","Listeria innocua Clip11262 (serotype 6a)","manual","TAX: 272626","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000195795.1)            BioProject: 86",NA,NA,"Nonpathogenic Listeria species",3093113,3043,84,2001,"Plasmid","pLI100","AL592102",81905,"AL592102","272626"
"T00422","lwe","LISW6, 386043","Listeria welshimeri","Listeria welshimeri serovar 6b SLCC5334","manual","TAX: 386043","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000060285.1)            BioProject: 13443",NA,NA,"Nonpathogenic member of the genus Listeria, first isolated from decaying plants.",2814130,2774,84,2006,"Chromosome","Circular","AM263198",2814130,"AM263198","386043"
"T01184","lsg","683837","Listeria seeligeri","Listeria seeligeri serovar 1/2b SLCC3954","KOALA","TAX: 683837","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000027145.1)            BioProject: 41123",NA,NA,"Nonpathogenic member of Listeria genus, isolated from soil in Germany.",2797636,2710,85,2010,"Chromosome","Circular","FN557490",2797636,"FN557490","683837"
"T01623","liv","881621","Listeria ivanovii subsp. ivanovii PAM 55","Listeria ivanovii subsp. ivanovii PAM 55","KOALA","TAX: 881621","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000252975.1)            BioProject: 13441","Animal pathogen",NA,"Isolated in 1997 in Spain from an outbreak of abortion in sheep.",2928879,2650,85,2011,"Chromosome","Circular","FR687253",2928879,"FR687253","881621"
"T03400","lii","202751","Listeria ivanovii subsp. ivanovii WSLC 3010","Listeria ivanovii subsp. ivanovii WSLC 3010","KOALA","TAX: 202751","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000763515.1)            BioProject: 257573",NA,NA,NA,2919548,2683,86,2014,"Chromosome","Circular","CP009577",2919548,"CP009577","202751"
"T03045","liw","1457190","Listeria ivanovii WSLC3009","Listeria ivanovii WSLC3009","KOALA","TAX: 1457190","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000565155.1)            BioProject: 236792",NA,NA,NA,2919538,2773,86,2014,"Chromosome","Circular","CP007172",2919538,"CP007172","1457190"
"T03401","lia","202752","Listeria ivanovii subsp. londoniensis WSLC 30167","Listeria ivanovii subsp. londoniensis WSLC 30167","KOALA","TAX: 202752","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000763475.1)            BioProject: 257575",NA,NA,NA,2993492,2754,86,2014,"Chromosome","Circular","CP009575",2993492,"CP009575","202752"
"T03402","lio","202752","Listeria ivanovii subsp. londoniensis WSLC 30151","Listeria ivanovii subsp. londoniensis WSLC 30151","KOALA","TAX: 202752","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria","GenBank (Assembly: GCA_000763495.1)            BioProject: 257574",NA,NA,NA,3045035,2825,86,2014,"Chromosome","Circular","CP009576",3045035,"CP009576","202752"
"T05089","bths","2756","Brochothrix thermosphacta","Brochothrix thermosphacta BI","none","TAX: 2756","Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Brochothrix","GenBank (Assembly: GCA_002381265.1)            BioProject: 407213",NA,NA,NA,2647794,2413,118,2017,"Chromosome","Circular","CP023483",2647794,"CP023483","2756"
"T00687","esi","EXIS2, 262543","Exiguobacterium sibiricum","Exiguobacterium sibiricum 255-15","manual","TAX: 262543","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_000019905.1)            BioProject: 10649","Methylotroph",NA,"Isolated from a depth of 43.6 m from a geological layer estimated to be 2-3 million years old in Kolyma Lowland permafrost in Russia.",3040786,3015,99,2008,"Chromosome","Circular","CP001022",3034136,"CP001022","262543"
"T00687","esi","EXIS2, 262543","Exiguobacterium sibiricum","Exiguobacterium sibiricum 255-15","manual","TAX: 262543","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_000019905.1)            BioProject: 10649","Methylotroph",NA,"Isolated from a depth of 43.6 m from a geological layer estimated to be 2-3 million years old in Kolyma Lowland permafrost in Russia.",3040786,3015,99,2008,"Plasmid","pEXIG01; Circular","CP001023",4885,"CP001023","262543"
"T00687","esi","EXIS2, 262543","Exiguobacterium sibiricum","Exiguobacterium sibiricum 255-15","manual","TAX: 262543","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_000019905.1)            BioProject: 10649","Methylotroph",NA,"Isolated from a depth of 43.6 m from a geological layer estimated to be 2-3 million years old in Kolyma Lowland permafrost in Russia.",3040786,3015,99,2008,"Plasmid","pEXIG02; Circular","CP001024",1765,"CP001024","262543"
"T00897","eat","EXISA, 360911","Exiguobacterium sp. AT1b","Exiguobacterium sp. AT1b","manual","TAX: 360911","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_000023045.1)            BioProject: 27759",NA,NA,"Isolated from a slightly alkaline, highly carbonate hot spring water sample from Angel Terrace, which is part of Mammoth Terrace, Yellowstone National Park.",2999895,3020,98,2009,"Chromosome","Circular","CP001615",2999895,"CP001615","360911"
"T02258","ean","1087448","Exiguobacterium antarcticum","Exiguobacterium antarcticum B7","KOALA","TAX: 1087448","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_000299435.1)            BioProject: 73211","Methylotroph",NA,"Isolated from a biofilm sample of Ginger Lake on King George Island, Antarctic peninsula.",2815863,2772,93,2012,"Chromosome","Circular","CP003063",2815863,"CP003063","1087448"
"T02903","exm","1399115","Exiguobacterium sp. MH3","Exiguobacterium sp. MH3","KOALA","TAX: 1399115","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_000496635.1)            BioProject: 225654","Methylotroph",NA,"Isolated from the rhizosphere of a duckweed strain, Lemna minor, collected from Shenzhen, China.",3164195,3203,88,2013,"Chromosome","Circular","CP006866",3164195,"CP006866","1399115"
"T04561","exu","1849031","Exiguobacterium sp. U13-1","Exiguobacterium sp. U13-1","KOALA","TAX: 1849031","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium","GenBank (Assembly: GCA_001750115.1)            BioProject: 320863",NA,NA,NA,3208634,3174,100,2016,"Chromosome","Circular","CP015731",3208634,"CP015731","1849031"
"T04256","got","1785995","Gemella sp. oral taxon 928","Gemella sp. oral taxon 928","KOALA","TAX: 1785995","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XI. Incertae Sedis; Gemella","GenBank (Assembly: GCA_001553915.1)            BioProject: 282954",NA,NA,NA,1769679,1528,57,2016,"Chromosome","Circular","CP014233",1769679,"CP014233","1785995"
"T00879","bbe","BREBN, 358681","Brevibacillus brevis","Brevibacillus brevis NBRC 100599","manual","TAX: 358681","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus","GenBank (Assembly: GCA_000010165.1)            BioProject: 29147",NA,NA,NA,6296436,5949,174,2009,"Chromosome","Circular","AP008955",6296436,"AP008955","358681"
"T03762","blr","1042163","Brevibacillus laterosporus","Brevibacillus laterosporus LMG 15441","KOALA","TAX: 1042163","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus","GenBank (Assembly: GCA_000219535.3)            BioProject: 67803",NA,NA,NA,5153859,4549,149,2015,"Chromosome","Circular","CP007806",5114147,"CP007806","1042163"
"T03762","blr","1042163","Brevibacillus laterosporus","Brevibacillus laterosporus LMG 15441","KOALA","TAX: 1042163","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus","GenBank (Assembly: GCA_000219535.3)            BioProject: 67803",NA,NA,NA,5153859,4549,149,2015,"Plasmid","pBRLA33; Circular","CP007807",32617,"CP007807","1042163"
"T03762","blr","1042163","Brevibacillus laterosporus","Brevibacillus laterosporus LMG 15441","KOALA","TAX: 1042163","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus","GenBank (Assembly: GCA_000219535.3)            BioProject: 67803",NA,NA,NA,5153859,4549,149,2015,"Plasmid","pBRLA07; Circular","CP007808",7095,"CP007808","1042163"
"T04939","bfm","54913","Brevibacillus formosus","Brevibacillus formosus NF2","KOALA","TAX: 54913","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus","GenBank (Assembly: GCA_002215075.1)            BioProject: 353906",NA,NA,NA,6437015,5636,182,2017,"Chromosome","Circular","CP018145",6437015,"CP018145","54913"
"T00977","pjd","324057","Paenibacillus sp. JDR-2","Paenibacillus sp. JDR-2","manual","TAX: 324057","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000023585.1)            BioProject: 20399","Methylotroph",NA,"Isolated from sweetgum (Liquidambar styraciflua) wood.",7184930,6213,126,2009,"Chromosome","Circular","CP001656",7184930,"CP001656","324057"
"T01100","gym","481743","Paenibacillus sp. Y412MC10","Paenibacillus sp. Y412MC10","manual","TAX: 481743","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000024685.1)            BioProject: 27777","Methylotroph",NA,"Isolated from Obsidian Hot Spring, Yellowstone National Park, Montana, USA.",7121665,6238,101,2009,"Chromosome","Circular","CP001793",7121665,"CP001793","481743"
"T01319","ppy","349520","Paenibacillus polymyxa E681","Paenibacillus polymyxa E681","KOALA","TAX: 349520","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000146875.2)            BioProject: 16065","Methylotroph",NA,"Isolated from the rhizosphere of winter barley grown in South Korea.",5394883,4764,127,2010,"Chromosome","Circular","CP000154",5394883,"CP000154","349520"
"T01335","ppm","886882","Paenibacillus polymyxa SC2","Paenibacillus polymyxa SC2","KOALA","TAX: 886882","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000164985.2)            BioProject: 52019","Methylotroph",NA,"Isolated from the rhizosphere of pepper in Guizhou, China.",6238510,5387,202,2010,"Chromosome","Circular","CP002213",5728392,"CP002213","886882"
"T01335","ppm","886882","Paenibacillus polymyxa SC2","Paenibacillus polymyxa SC2","KOALA","TAX: 886882","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000164985.2)            BioProject: 52019","Methylotroph",NA,"Isolated from the rhizosphere of pepper in Guizhou, China.",6238510,5387,202,2010,"Plasmid","pSC2; Circular","CP002214",510118,"CP002214","886882"
"T01968","ppo","1052684","Paenibacillus polymyxa M1","Paenibacillus polymyxa M1","KOALA","TAX: 1052684","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000237325.1)            BioProject: 68665","Methylotroph",NA,"Isolated from surface-sterilized wheat root tissues.",6231122,5364,152,2012,"Chromosome","Circular","HE577054",5864546,"HE577054","1052684"
"T01968","ppo","1052684","Paenibacillus polymyxa M1","Paenibacillus polymyxa M1","KOALA","TAX: 1052684","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000237325.1)            BioProject: 68665","Methylotroph",NA,"Isolated from surface-sterilized wheat root tissues.",6231122,5364,152,2012,"Plasmid","pPPM1a; Circular","HE577055",366576,"HE577055","1052684"
"T02956","ppol","1429244","Paenibacillus polymyxa CR1","Paenibacillus polymyxa CR1","KOALA","TAX: 1429244","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000507205.2)            BioProject: 230571",NA,NA,NA,6019882,4967,122,2013,"Chromosome","Circular","CP006941",6019882,"CP006941","1429244"
"T03178","ppq","1413214","Paenibacillus polymyxa SQR-21","Paenibacillus polymyxa SQR-21","KOALA","TAX: 1413214","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000597985.1)            BioProject: 224951",NA,NA,"Naturally isolated from watermelon rhizosphere.",5828436,5024,150,2014,"Chromosome","Circular","CP006872",5828436,"CP006872","1413214"
"T03812","ppoy","1406","Paenibacillus polymyxa Sb3-1","Paenibacillus polymyxa Sb3-1","KOALA","TAX: 1406","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000819665.1)            BioProject: 269241",NA,NA,"Isolated from agricultural, organically managed soil in Egypt.",5829236,4761,156,2015,"Chromosome","Circular","CP010268",5597590,"CP010268","1406"
"T03812","ppoy","1406","Paenibacillus polymyxa Sb3-1","Paenibacillus polymyxa Sb3-1","KOALA","TAX: 1406","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000819665.1)            BioProject: 269241",NA,NA,"Isolated from agricultural, organically managed soil in Egypt.",5829236,4761,156,2015,"Plasmid","pSb31s; Circular","CP010269",8109,"CP010269","1406"
"T03812","ppoy","1406","Paenibacillus polymyxa Sb3-1","Paenibacillus polymyxa Sb3-1","KOALA","TAX: 1406","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000819665.1)            BioProject: 269241",NA,NA,"Isolated from agricultural, organically managed soil in Egypt.",5829236,4761,156,2015,"Plasmid","pSb31l; Circular","CP010270",223537,"CP010270","1406"
"T01550","pms","1036673","Paenibacillus mucilaginosus KNP414","Paenibacillus mucilaginosus KNP414","KOALA","TAX: 1036673","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000218915.1)            BioProject: 67335","Methylotroph",NA,NA,8663821,7804,153,2011,"Chromosome","Circular","CP002869",8663821,"CP002869","1036673"
"T01757","pmq","1116391","Paenibacillus mucilaginosus 3016","Paenibacillus mucilaginosus 3016","KOALA","TAX: 1116391","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000250655.1)            BioProject: 77661","Methylotroph",NA,"Isolated from rhizosphere soil.",8739048,7057,212,2012,"Chromosome","Circular","CP003235",8739048,"CP003235","1116391"
"T02041","pmw","997761","Paenibacillus mucilaginosus K02","Paenibacillus mucilaginosus K02","KOALA","TAX: 997761","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000258535.2)            BioProject: 63845","Methylotroph",NA,NA,8819200,7354,189,2012,"Chromosome","Circular","CP003422",8819200,"CP003422","997761"
"T01668","pta","985665","Paenibacillus terrae","Paenibacillus terrae HPL-003","KOALA","TAX: 985665","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000235585.1)            BioProject: 67295","Methylotroph",NA,"Endospore-forming, xylanase-producing bacterium.            Isolated from soil found in forest residue on Gara Mountain.",6083395,5525,117,2012,"Chromosome","Circular","CP003107",6083395,"CP003107","985665"
"T02963","plv","697284","Paenibacillus larvae","Paenibacillus larvae subsp. larvae DSM 25430","KOALA","TAX: 697284","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000511405.1)            BioProject: 42205","Insect pathogen",NA,NA,4056006,3928,106,2013,"Chromosome","Circular","CP003355",4046337,"CP003355","697284"
"T02963","plv","697284","Paenibacillus larvae","Paenibacillus larvae subsp. larvae DSM 25430","KOALA","TAX: 697284","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000511405.1)            BioProject: 42205","Insect pathogen",NA,NA,4056006,3928,106,2013,"Plasmid","pPLA2_10; Circular","CP003356",9669,"CP003356","697284"
"T03064","psab","1268072","Paenibacillus sabinae","Paenibacillus sabinae T27","KOALA","TAX: 1268072","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000612505.1)            BioProject: 183187","Methylotroph",NA,NA,5270569,4788,108,2014,"Chromosome","Circular","CP004078",5270569,"CP004078","1268072"
"T03297","pdu","44251","Paenibacillus durus","Paenibacillus durus DSM 1735","KOALA","TAX: 44251","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000756615.1)            BioProject: 259665",NA,NA,NA,6053498,4683,112,2014,"Chromosome","Circular","CP009288",6038347,"CP009288","44251"
"T03297","pdu","44251","Paenibacillus durus","Paenibacillus durus DSM 1735","KOALA","TAX: 44251","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000756615.1)            BioProject: 259665",NA,NA,NA,6053498,4683,112,2014,"Plasmid","unnamed; Circular","CP009289",15151,"CP009289","44251"
"T03324","pbd","160799","Paenibacillus borealis","Paenibacillus borealis DSM 13188","KOALA","TAX: 160799","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758665.1)            BioProject: 258353",NA,NA,NA,8156808,6213,117,2014,"Chromosome","Circular","CP009285",8156808,"CP009285","160799"
"T03325","pgm","189425","Paenibacillus graminis","Paenibacillus graminis DSM 15220","KOALA","TAX: 189425","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758705.1)            BioProject: 258365",NA,NA,NA,7166464,5584,119,2014,"Chromosome","Circular","CP009287",7166464,"CP009287","189425"
"T03326","pod","189426","Paenibacillus odorifer","Paenibacillus odorifer DSM 15391","KOALA","TAX: 189426","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758725.1)            BioProject: 260728",NA,NA,NA,6812473,5431,117,2014,"Chromosome","Circular","CP009428",6812473,"CP009428","189426"
"T03332","paen","1536769","Paenibacillus sp. FSL P4-0081","Paenibacillus sp. FSL P4-0081","KOALA","TAX: 1536769","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758565.1)            BioProject: 258346",NA,NA,NA,8423054,6415,116,2014,"Chromosome","Circular","CP009280",8423054,"CP009280","1536769"
"T03333","paef","1536770","Paenibacillus sp. FSL R5-0345","Paenibacillus sp. FSL R5-0345","KOALA","TAX: 1536770","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758585.1)            BioProject: 258347",NA,NA,NA,6787172,5433,120,2014,"Chromosome","Circular","CP009281",6787172,"CP009281","1536770"
"T03334","paeq","1536771","Paenibacillus sp. FSL R5-0912","Paenibacillus sp. FSL R5-0912","KOALA","TAX: 1536771","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758605.1)            BioProject: 258348",NA,NA,NA,7718525,5853,119,2014,"Chromosome","Circular","CP009282",7718525,"CP009282","1536771"
"T03335","pste","169760","Paenibacillus stellifer","Paenibacillus stellifer DSM 14472","KOALA","TAX: 169760","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758685.1)            BioProject: 258354",NA,NA,NA,5658798,4464,121,2014,"Chromosome","Circular","CP009286",5658798,"CP009286","169760"
"T03356","paea","1536772","Paenibacillus sp. FSL R7-0273","Paenibacillus sp. FSL R7-0273","KOALA","TAX: 1536772","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758625.1)            BioProject: 258350",NA,NA,NA,7288921,5617,115,2014,"Chromosome","Circular","CP009283",7288921,"CP009283","1536772"
"T03357","paee","1536773","Paenibacillus sp. FSL R7-0331","Paenibacillus sp. FSL R7-0331","KOALA","TAX: 1536773","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758645.1)            BioProject: 258352",NA,NA,NA,6931967,5444,116,2014,"Chromosome","Circular","CP009284",6931967,"CP009284","1536773"
"T03358","paeh","1536774","Paenibacillus sp. FSL H7-0357","Paenibacillus sp. FSL H7-0357","KOALA","TAX: 1536774","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758525.1)            BioProject: 258344",NA,NA,NA,7692748,6116,113,2014,"Chromosome","Circular","CP009241",7692748,"CP009241","1536774"
"T03359","paej","1536775","Paenibacillus sp. FSL H7-0737","Paenibacillus sp. FSL H7-0737","KOALA","TAX: 1536775","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000758545.1)            BioProject: 258345",NA,NA,NA,6765883,5383,122,2014,"Chromosome","Circular","CP009279",6765883,"CP009279","1536775"
"T03802","pbj","1126833","Paenibacillus beijingensis","Paenibacillus beijingensis DSM 24997","KOALA","TAX: 1126833","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000961095.1)            BioProject: 277798",NA,NA,"Isolated from the rhizosphere soil of jujube garden.",5749967,4728,118,2015,"Chromosome","Circular","CP011058",5749967,"CP011058","1126833"
"T03836","pih","1566358","Paenibacillus sp. IHBB 10380","Paenibacillus sp. IHBB 10380","KOALA","TAX: 1566358","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000949425.1)            BioProject: 275272",NA,NA,"Isolated from the soil of the forefield of a glacier near the Kunzum Pass (32 deg 23 min 45.93 sec N 77 deg 37 min 46.00 sec E) in the Lahaul-Spiti district of Himachal Pradesh.",5787303,4606,125,2015,"Chromosome","Circular","CP010976",5770242,"CP010976","1566358"
"T03836","pih","1566358","Paenibacillus sp. IHBB 10380","Paenibacillus sp. IHBB 10380","KOALA","TAX: 1566358","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000949425.1)            BioProject: 275272",NA,NA,"Isolated from the soil of the forefield of a glacier near the Kunzum Pass (32 deg 23 min 45.93 sec N 77 deg 37 min 46.00 sec E) in the Lahaul-Spiti district of Himachal Pradesh.",5787303,4606,125,2015,"Plasmid","unnamed; Circular","CP010977",17061,"CP010977","1566358"
"T03849","pri","1073571","Paenibacillus riograndensis","Paenibacillus riograndensis SBR5","KOALA","TAX: 1073571","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_000981585.1)            BioProject: 280881",NA,NA,"Isolated from the rhizosphere of Triticum aestivum L. cultivated in Southern Brazil.",7919576,6705,114,2015,"Chromosome","I; Circular","LN831776",7919576,"LN831776","1073571"
"T04053","ppeo","59893","Paenibacillus peoriae","Paenibacillus peoriae HS311","KOALA","TAX: 59893","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001272655.1)            BioProject: 284101",NA,NA,NA,6006533,4929,139,2015,"Chromosome","Circular","CP011512",6006533,"CP011512","59893"
"T04167","pnp","162209","Paenibacillus naphthalenovorans","Paenibacillus naphthalenovorans 32O-Y","KOALA","TAX: 162209","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001465255.1)            BioProject: 255122",NA,NA,NA,5200139,5054,129,2016,"Chromosome","Circular","CP013652",5200139,"CP013652","162209"
"T04219","pow","1695218","Paenibacillus sp. 32O-W","Paenibacillus sp. 32O-W","KOALA","TAX: 1695218","Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","GenBank (Assembly: GCA_001465275.1)            BioProject: 255120",NA,NA,NA,5375858,4752,89,2016,"Chromosome","Circular","CP013653",5375858,"CP013653","1695218"
